Cre01.g000050.t1.1	RWP14
Cre01.g000150.t1.2	ZRT2
Cre01.g000650.t1.1	AMX2
Cre01.g000850.t1.2	CPLD38
Cre01.g000900.t1.2	CPLD20
Cre01.g001400.t1.1	ZMP1
Cre01.g001750.t1.2	TIG1
Cre01.g002200.t1.1	RPB6
Cre01.g002500.t1.2	COP2
Cre01.g003050.t1.2	SEC8
Cre01.g004250.t1.2	TCTEX1
Cre01.g004300.t1.2	ASN1
Cre01.g004450.t1.2	CPLD42
Cre01.g004500.t1.2	LEU1L
Cre01.g004550.t1.2	FAP190
Cre01.g004600.t1.1	RWP12
Cre01.g005150.t1.1	SGA1
Cre01.g005450.t1.2	RSP10
Cre01.g005550.t1.2	ARL2
Cre01.g006050.t1.1	LF3
Cre01.g006950.t1.1	FBA1
Cre01.g006950.t2.1	FBA1
Cre01.g007050.t1.2	CPLD11
Cre01.g007350.t1.2	MOT42
Cre01.g007850.t1.2	TEF29
Cre01.g009250.t1.1	TOP2
Cre01.g009350.t1.2	AIH2
Cre01.g009450.t1.1	DNJ22
Cre01.g009650.t1.2	BUG25
Cre01.g009800.t1.2	FAP289
Cre01.g009900.t1.1	CDJ3
Cre01.g009950.t1.2	NEP1
Cre01.g010000.t1.2	MAPK8
Cre01.g010900.t1.2	GAP3
Cre01.g011000.t1.2	RPL6
Cre01.g011500.t1.2	RPN11
Cre01.g012050.t1.2	NAR1.6
Cre01.g012100.t1.1	ARS4
Cre01.g012150.t1.2	MSRA4
Cre01.g012500.t1.2	PRA1
Cre01.g012600.t1.1	GPM2
Cre01.g012800.t1.1	FAP230
Cre01.g012800.t2.1	FAP230
Cre01.g013100.t1.1	PRL10
Cre01.g013300.t1.1	DEG10
Cre01.g014350.t1.2	PRX5
Cre01.g015000.t1.2	AGK1
Cre01.g015200.t1.1	PDE4
Cre01.g015350.t1.1	POR1
Cre01.g015850.t1.1	FAP68
Cre01.g015950.t1.2	CPL11
Cre01.g016050.t1.2	PRP8
Cre01.g016500.t1.1	DLD2
Cre01.g016600.t1.2	PSBS1
Cre01.g017300.t1.2	PRPS21
Cre01.g017600.t1.1	PQQ2
Cre01.g017600.t2.1	PQQ2
Cre01.g018000.t1.1	RPA12
Cre01.g018800.t1.2	ATP6
Cre01.g018950.t1.2	DHS1
Cre01.g019150.t1.2	GCP4
Cre01.g019700.t1.2	PAP7
Cre01.g019850.t1.1	FHL3
Cre01.g019950.t1.2	DNJ7
Cre01.g020350.t1.2	SDH3
Cre01.g020850.t1.1	CYG49
Cre01.g021050.t1.2	TIM22A
Cre01.g021150.t1.1	TMU1
Cre01.g021150.t2.1	TMU1
Cre01.g021200.t1.2	CGL47
Cre01.g021700.t1.1	CYG36
Cre01.g022150.t1.1	KCN3
Cre01.g022250.t1.1	MRPL3
Cre01.g022500.t1.2	MME5
Cre01.g022600.t1.1	CGL13
Cre01.g022600.t2.1	CGL13
Cre01.g022750.t1.1	FAP159
