GID	GENENAME
69022	ostta01g00010
69023	ostta01g00020
69024	ostta01g00030
69025	ostta01g00040
69026	ostta01g00050
69027	ostta01g00060
69028	ostta01g00070
69029	ostta01g00080
69030	ostta01g00090
69031	ostta01g00100
69032	ostta01g00110
69033	ostta01g00120
69034	ostta01g00130
69035	ostta01g00140
69036	ostta01g00150
69037	ostta01g00160
69038	ostta01g00170
69039	ostta01g00180
69040	ostta01g00190
69041	ostta01g00200
69042	ostta01g00210
69043	ostta01g00220
69044	ostta01g00230
69045	ostta01g00240
69046	ostta01g00250
69047	ostta01g00260
69048	ostta01g00270
69049	ostta01g00280
69050	ostta01g00290
69051	ostta01g00300
69052	ostta01g00310
69053	ostta01g00320
69054	ostta01g00330
69055	ostta01g00340
69056	ostta01g00350
69057	ostta01g00360
69058	ostta01g00370
69059	ostta01g00380
69060	ostta01g00390
69061	ostta01g00400
69062	ostta01g00410
69063	ostta01g00420
69064	ostta01g00430
69065	ostta01g00440
69066	ostta01g00450
69067	ostta01g00460
69068	ostta01g00470
69069	ostta01g00480
69070	ostta01g00485
69071	ostta01g00490
69072	ostta01g00500
69073	ostta01g00510
69074	ostta01g00520
69075	ostta01g00530
69076	ostta01g00540
69077	ostta01g00550
69078	ostta01g00560
69079	ostta01g00570
69080	ostta01g00580
69081	ostta01g00590
69082	ostta01g00600
69083	ostta01g00610
69084	ostta01g00620
69085	ostta01g00630
69086	ostta01g00640
69087	ostta01g00650
69088	ostta01g00660
69089	ostta01g00670
69090	ostta01g00680
69091	ostta01g00690
69092	ostta01g00720
69093	ostta01g00730
69094	ostta01g00740
69095	ostta01g00750
69096	ostta01g00760
69097	ostta01g00770
69098	ostta01g00780
69099	ostta01g00790
69100	ostta01g00800
69101	ostta01g00810
69102	ostta01g00820
69103	ostta01g00830
69104	ostta01g00840
69105	ostta01g00850
69106	ostta01g00860
69107	ostta01g00870
69108	ostta01g00880
69109	ostta01g00890
69110	ostta01g00910
69111	ostta01g00920
69112	ostta01g00930
69113	ostta01g00940
69114	ostta01g00950
69115	ostta01g00960
69116	ostta01g00970
69117	ostta01g00980
69118	ostta01g00990
69119	ostta01g01000
69120	ostta01g01020
69121	ostta01g01030
69122	ostta01g01040
69123	ostta01g01050
69124	ostta01g01060
69125	ostta01g01070
69126	ostta01g01080
69127	ostta01g01085
69128	ostta01g01090
69129	ostta01g01100
69130	ostta01g01110
69131	ostta01g01120
69132	ostta01g01130
69133	ostta01g01140
69134	ostta01g01150
69135	ostta01g01160
69136	ostta01g01170
69137	ostta01g01180
69138	ostta01g01190
69139	ostta01g01200
69140	ostta01g01210
69141	ostta01g01220
69142	ostta01g01230
69143	ostta01g01240
69144	ostta01g01250
69145	ostta01g01260
69146	ostta01g01270
69147	ostta01g01280
69148	ostta01g01290
69149	ostta01g01295
69150	ostta01g01300
69151	ostta01g01310
69152	ostta01g01320
69153	ostta01g01330
69154	ostta01g01340
69155	ostta01g01350
69156	ostta01g01370
69157	ostta01g01380
69158	ostta01g01390
69159	ostta01g01400
69160	ostta01g01410
69161	ostta01g01420
69162	ostta01g01430
69163	ostta01g01440
69164	ostta01g01450
69165	ostta01g01460
69166	ostta01g01470
69167	ostta01g01480
69168	ostta01g01490
69169	ostta01g01500
69170	ostta01g01510
69171	ostta01g01520
69172	ostta01g01530
69173	ostta01g01540
69174	ostta01g01550
69175	ostta01g01560
69176	ostta01g01570
69177	ostta01g01580
69178	ostta01g01590
69179	ostta01g01600
69180	ostta01g01610
69181	ostta01g01620
69182	ostta01g01630
69183	ostta01g01640
69184	ostta01g01650
69185	ostta01g01660
69186	ostta01g01670
69187	ostta01g01680
69188	ostta01g01690
69189	ostta01g01700
69190	ostta01g01710
69191	ostta01g01720
69192	ostta01g01730
69193	ostta01g01740
69194	ostta01g01750
69195	ostta01g01760
69196	ostta01g01770
69197	ostta01g01780
69198	ostta01g01790
69199	ostta01g01800
69200	ostta01g01810
69201	ostta01g01820
69202	ostta01g01830
69203	ostta01g01850
69204	ostta01g01855
69205	ostta01g01860
69206	ostta01g01870
69207	ostta01g01880
69208	ostta01g01890
69209	ostta01g01900
69210	ostta01g01910
69211	ostta01g01920
69212	ostta01g01930
69213	ostta01g01940
69214	ostta01g01950
69215	ostta01g01960
69216	ostta01g01970
69217	ostta01g01980
69218	ostta01g01990
69219	ostta01g02000
69220	ostta01g02010
69221	ostta01g02020
69222	ostta01g02030
69223	ostta01g02040
69224	ostta01g02050
69225	ostta01g02060
69226	ostta01g02070
69227	ostta01g02080
69228	ostta01g02090
69229	ostta01g02100
69230	ostta01g02110
69231	ostta01g02120
69232	ostta01g02130
69233	ostta01g02140
69234	ostta01g02150
69235	ostta01g02160
69236	ostta01g02170
69237	ostta01g02180
69238	ostta01g02190
69239	ostta01g02200
69240	ostta01g02210
69241	ostta01g02220
