TID	TRANSNAME
69061	ostta01g00010T0
69062	ostta01g00020T0
69063	ostta01g00030T0
69064	ostta01g00040T0
69065	ostta01g00050T0
69066	ostta01g00060T0
69067	ostta01g00070T0
69068	ostta01g00080T0
69069	ostta01g00090T0
69070	ostta01g00100T0
69071	ostta01g00110T0
69072	ostta01g00120T0
69073	ostta01g00130T0
69074	ostta01g00140T0
69075	ostta01g00150T0
69076	ostta01g00160T0
69077	ostta01g00170T0
69078	ostta01g00180T0
69079	ostta01g00190T0
69080	ostta01g00200T0
69081	ostta01g00210T0
69082	ostta01g00220T0
69083	ostta01g00230T0
69084	ostta01g00240T0
69085	ostta01g00250T0
69086	ostta01g00260T0
69087	ostta01g00270T0
69088	ostta01g00280T0
69089	ostta01g00290T0
69090	ostta01g00300T0
69091	ostta01g00310T0
69092	ostta01g00320T0
69093	ostta01g00330T0
69094	ostta01g00340T0
69095	ostta01g00350T0
69096	ostta01g00360T0
69097	ostta01g00370T0
69098	ostta01g00380T0
69099	ostta01g00390T0
69100	ostta01g00400T0
69101	ostta01g00410T0
69102	ostta01g00420T0
69103	ostta01g00430T0
69104	ostta01g00440T0
69105	ostta01g00450T0
69106	ostta01g00460T0
69107	ostta01g00470T0
69108	ostta01g00480T0
69109	ostta01g00485T0
69110	ostta01g00490T0
69111	ostta01g00500T0
69112	ostta01g00510T0
69113	ostta01g00520T0
69114	ostta01g00530T0
69115	ostta01g00540T0
69116	ostta01g00550T0
69117	ostta01g00560T0
69118	ostta01g00570T0
69119	ostta01g00580T0
69120	ostta01g00590T0
69121	ostta01g00600T0
69122	ostta01g00610T0
69123	ostta01g00620T0
69124	ostta01g00630T0
69125	ostta01g00640T0
69126	ostta01g00650T0
69127	ostta01g00660T0
69128	ostta01g00670T0
69129	ostta01g00680T0
69130	ostta01g00690T0
69131	ostta01g00720T0
69132	ostta01g00730T0
69133	ostta01g00740T0
69134	ostta01g00750T0
69135	ostta01g00760T0
69136	ostta01g00770T0
69137	ostta01g00780T0
69138	ostta01g00790T0
69139	ostta01g00800T0
69140	ostta01g00810T0
69141	ostta01g00820T0
69142	ostta01g00830T0
69143	ostta01g00840T0
69144	ostta01g00850T0
69145	ostta01g00860T0
69146	ostta01g00870T0
69147	ostta01g00880T0
69148	ostta01g00890T0
69149	ostta01g00910T0
69150	ostta01g00920T0
69151	ostta01g00930T0
69152	ostta01g00940T0
69153	ostta01g00950T0
69154	ostta01g00960T0
69155	ostta01g00970T0
69156	ostta01g00980T0
69157	ostta01g00990T0
69158	ostta01g01000T0
69159	ostta01g01020T0
69160	ostta01g01030T0
69161	ostta01g01040T0
69162	ostta01g01050T0
69163	ostta01g01060T0
69164	ostta01g01070T0
69165	ostta01g01080T0
69166	ostta01g01085T0
69167	ostta01g01090T0
69168	ostta01g01100T0
69169	ostta01g01110T0
69170	ostta01g01120T0
69171	ostta01g01130T0
69172	ostta01g01140T0
69173	ostta01g01150T0
69174	ostta01g01160T0
69175	ostta01g01170T0
69176	ostta01g01180T0
69177	ostta01g01190T0
69178	ostta01g01200T0
69179	ostta01g01210T0
69180	ostta01g01220T0
69181	ostta01g01230T0
69182	ostta01g01240T0
69183	ostta01g01250T0
69184	ostta01g01260T0
69185	ostta01g01270T0
69186	ostta01g01280T0
69187	ostta01g01290T0
69188	ostta01g01295T0
69189	ostta01g01300T0
69190	ostta01g01310T0
69191	ostta01g01320T0
69192	ostta01g01330T0
69193	ostta01g01340T0
69194	ostta01g01350T0
69195	ostta01g01370T0
69196	ostta01g01380T0
69197	ostta01g01390T0
69198	ostta01g01400T0
69199	ostta01g01410T0
69200	ostta01g01420T0
69201	ostta01g01430T0
69202	ostta01g01440T0
69203	ostta01g01450T0
69204	ostta01g01460T0
69205	ostta01g01470T0
69206	ostta01g01480T0
69207	ostta01g01490T0
69208	ostta01g01500T0
69209	ostta01g01510T0
69210	ostta01g01520T0
69211	ostta01g01530T0
69212	ostta01g01540T0
69213	ostta01g01550T0
69214	ostta01g01560T0
69215	ostta01g01570T0
69216	ostta01g01580T0
69217	ostta01g01590T0
69218	ostta01g01600T0
69219	ostta01g01610T0
69220	ostta01g01620T0
69221	ostta01g01630T0
69222	ostta01g01640T0
69223	ostta01g01650T0
69224	ostta01g01660T0
69225	ostta01g01670T0
69226	ostta01g01680T0
69227	ostta01g01690T0
69228	ostta01g01700T0
69229	ostta01g01710T0
69230	ostta01g01720T0
69231	ostta01g01730T0
69232	ostta01g01740T0
69233	ostta01g01750T0
69234	ostta01g01760T0
69235	ostta01g01770T0
69236	ostta01g01780T0
69237	ostta01g01790T0
69238	ostta01g01800T0
69239	ostta01g01810T0
69240	ostta01g01820T0
69241	ostta01g01830T0
69242	ostta01g01850T0
69243	ostta01g01855T0
69244	ostta01g01860T0
69245	ostta01g01870T0
69246	ostta01g01880T0
69247	ostta01g01890T0
69248	ostta01g01900T0
69249	ostta01g01910T0
69250	ostta01g01920T0
69251	ostta01g01930T0
69252	ostta01g01940T0
69253	ostta01g01950T0
69254	ostta01g01960T0
69255	ostta01g01970T0
69256	ostta01g01980T0
69257	ostta01g01990T0
69258	ostta01g02000T0
69259	ostta01g02010T0
69260	ostta01g02020T0
69261	ostta01g02030T0
69262	ostta01g02040T0
69263	ostta01g02050T0
69264	ostta01g02060T0
69265	ostta01g02070T0
69266	ostta01g02080T0
69267	ostta01g02090T0
69268	ostta01g02100T0
69269	ostta01g02110T0
69270	ostta01g02120T0
69271	ostta01g02130T0
69272	ostta01g02140T0
69273	ostta01g02150T0
69274	ostta01g02160T0
69275	ostta01g02170T0
69276	ostta01g02180T0
69277	ostta01g02190T0
69278	ostta01g02200T0
69279	ostta01g02210T0
69280	ostta01g02220T0
69281	ostta01g02230T0
69282	ostta01g02240T0
69283	ostta01g02250T0
69284	ostta01g02260T0
69285	ostta01g02270T0
69286	ostta01g02280T0
69287	ostta01g02290T0
69288	ostta01g02300T0
69289	ostta01g02310T0
69290	ostta01g02320T0
69291	ostta01g02330T0
69292	ostta01g02340T0
69293	ostta01g02350T0
69294	ostta01g02360T0
69295	ostta01g02370T0
69296	ostta01g02380T0
69297	ostta01g02390T0
69298	ostta01g02400T0
69299	ostta01g02410T0
69300	ostta01g02420T0
69301	ostta01g02430T0
69302	ostta01g02440T0
69303	ostta01g02450T0
69304	ostta01g02460T0
69305	ostta01g02470T0
69306	ostta01g02480T0
69307	ostta01g02490T0
69308	ostta01g02500T0
69309	ostta01g02510T0
69310	ostta01g02520T0
69311	ostta01g02530T0
69312	ostta01g02540T0
69313	ostta01g02560T0
69314	ostta01g02570T0
69315	ostta01g02580T0
69316	ostta01g02590T0
69317	ostta01g02600T0
69318	ostta01g02610T0
69319	ostta01g02615T0
69320	ostta01g02617T0
69321	ostta01g02620T0
69322	ostta01g02630T0
69323	ostta01g02640T0
69324	ostta01g02650T0
69325	ostta01g02660T0
69326	ostta01g02670T0
69327	ostta01g02680T0
69328	ostta01g02690T0
69329	ostta01g02700T0
69330	ostta01g02710T0
69331	ostta01g02720T0
69332	ostta01g02730T0
69333	ostta01g02740T0
69334	ostta01g02750T0
69335	ostta01g02760T0
69336	ostta01g02770T0
69337	ostta01g02780T0
69338	ostta01g02790T0
69339	ostta01g02800T0
69340	ostta01g02810T0
69341	ostta01g02820T0
69342	ostta01g02825T0
69343	ostta01g02830T0
69344	ostta01g02840T0
69345	ostta01g02845T0
69346	ostta01g02847T0
69347	ostta01g02850T0
69348	ostta01g02860T0
69349	ostta01g02870T0
69350	ostta01g02880T0
69351	ostta01g02890T0
69352	ostta01g02895T0
69353	ostta01g02910T0
69354	ostta01g02920T0
69355	ostta01g02930T0
69356	ostta01g02940T0
69357	ostta01g02950T0
69358	ostta01g02960T0
69359	ostta01g02970T0
69360	ostta01g02980T0
69361	ostta01g02990T0
69362	ostta01g03000T0
69363	ostta01g03010T0
69364	ostta01g03020T0
69365	ostta01g03030T0
69366	ostta01g03040T0
69367	ostta01g03050T0
69368	ostta01g03060T0
69369	ostta01g03070T0
69370	ostta01g03080T0
69371	ostta01g03090T0
69372	ostta01g03100T0
69373	ostta01g03110T0
69374	ostta01g03120T0
69375	ostta01g03130T0
69376	ostta01g03140T0
69377	ostta01g03150T0
69378	ostta01g03160T0
69379	ostta01g03170T0
69380	ostta01g03180T0
69381	ostta01g03190T0
69382	ostta01g03200T0
69383	ostta01g03210T0
69384	ostta01g03220T0
69385	ostta01g03230T0
69386	ostta01g03240T0
69387	ostta01g03250T0
69388	ostta01g03260T0
69389	ostta01g03270T0
69390	ostta01g03280T0
69391	ostta01g03290T0
69392	ostta01g03300T0
69393	ostta01g03310T0
69394	ostta01g03320T0
69395	ostta01g03330T0
69396	ostta01g03340T0
69397	ostta01g03350T0
69398	ostta01g03360T0
69399	ostta01g03370T0
69400	ostta01g03380T0
69401	ostta01g03390T0
69402	ostta01g03400T0
69403	ostta01g03410T0
69404	ostta01g03420T0
69405	ostta01g03430T0
69406	ostta01g03440T0
69407	ostta01g03450T0
69408	ostta01g03460T0
69409	ostta01g03470T0
69410	ostta01g03480T0
