Gene ID	GO	KOG	ENZYME
Naga_100091g9	GO:0008152 GO:0008080		
Naga_100091g8	GO:0019538 GO:0016706	KOG3710	
Naga_100091g7	GO:0008270 GO:0006355 GO:0005634 GO:0003700		
Naga_100091g5	GO:0008270 GO:0008237 GO:0005488	KOG1046	
Naga_100091g4	GO:0030170 GO:0008483 GO:0050459	KOG1403	
Naga_100091g3	GO:0030170 GO:0008483	KOG1403	
Naga_100091g2	GO:0005515	KOG4350	
Naga_100091g1	GO:0006629 GO:0004806	KOG4569	
Naga_100786g1	GO:0006397 GO:0005737 GO:0005634 GO:0003723 GO:0000245		
Naga_100786g2	GO:0005488	KOG0858	
Naga_100568g3	GO:0007585 GO:0005740		
Naga_100836g1	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG0591	
Naga_100836g2	GO:0016020 GO:0006811 GO:0005216	KOG3676	
Naga_100626g1	GO:0007018 GO:0005875 GO:0005524 GO:0003777	KOG0239	
Naga_100671g2	GO:0003756	KOG0190	5.3.4.1
Naga_100671g1	GO:0005515	KOG3667	
Naga_100634g3	GO:0010181	KOG4558	
Naga_101013g2	GO:0006364 GO:0005634 GO:0003723 GO:0043852 GO:0043851 GO:0043834 GO:0043833 GO:0043827 GO:0043803 GO:0043791 GO:0043782 GO:0043780 GO:0043777 GO:0043776 GO:0043770 GO:0030792 GO:0019702 GO:0018707 GO:0018423 GO:0016436 GO:0016435 GO:0016434 GO:0016433 GO:0016427 GO:0016426 GO:0016423 GO:0016300 GO:0016279 GO:0016278 GO:0016274 GO:0016273 GO:0016205 GO:0009383 GO:0009008 GO:0008650 GO:0008649 GO:0008425 GO:0008276 GO:0008175 GO:0008174 GO:0008173 GO:0008172 GO:0008171 GO:0008170 GO:0008169 GO:0003880 GO:0000179	KOG1596	2.1.1.-
Naga_101137g1	GO:0003676	KOG0123	
Naga_100129g1	GO:0003676 GO:0016071	KOG0123	
Naga_100129g5	GO:0008270 GO:0006355 GO:0005634 GO:0003700		
Naga_100129g11	GO:0003677	KOG0724	
Naga_100129g13	GO:0008173 GO:0006396 GO:0003723	KOG0838	
