proteinId	gotermId	goName	gotermType	goAcc
25	2653	ATP binding	molecular_function	GO:0005524
25	4688	ATP-dependent helicase activity	molecular_function	GO:0008026
25	1055	nucleic acid binding	molecular_function	GO:0003676
25	1683	helicase activity	molecular_function	GO:0004386
25	157	nucleotide binding	molecular_function	GO:0000166
25	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
25	505	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
25	2049	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
25	5336	DNA helicase IV activity	molecular_function	GO:0008722
25	5368	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
25	5406	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
25	5437	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
25	8207	pyrophosphatase activity	molecular_function	GO:0016462
25	8545	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	GO:0016818
25	10006	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
25	10007	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
83	2653	ATP binding	molecular_function	GO:0005524
83	8614	ATPase activity	molecular_function	GO:0016887
83	157	nucleotide binding	molecular_function	GO:0000166
83	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
228	2653	ATP binding	molecular_function	GO:0005524
228	3881	cation transport	biological_process	GO:0006812
228	7479	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
228	7826	membrane	cellular_component	GO:0016020
228	1107	structural constituent of ribosome	molecular_function	GO:0003735
228	2746	intracellular	cellular_component	GO:0005622
228	2953	ribosome	cellular_component	GO:0005840
228	3503	protein biosynthesis	biological_process	GO:0006412
228	2583	calcium-transporting ATPase activity	molecular_function	GO:0005388
228	3885	calcium ion transport	biological_process	GO:0006816
228	7827	integral to membrane	cellular_component	GO:0016021
228	1170	catalytic activity	molecular_function	GO:0003824
228	4804	metabolism	biological_process	GO:0008152
228	8547	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
231	1056	DNA binding	molecular_function	GO:0003677
231	2653	ATP binding	molecular_function	GO:0005524
231	4688	ATP-dependent helicase activity	molecular_function	GO:0008026
231	1055	nucleic acid binding	molecular_function	GO:0003676
231	1683	helicase activity	molecular_function	GO:0004386
231	505	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
231	2049	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
231	5336	DNA helicase IV activity	molecular_function	GO:0008722
231	5368	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
231	5406	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
231	5437	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
231	8207	pyrophosphatase activity	molecular_function	GO:0016462
231	8545	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	GO:0016818
231	10006	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
231	10007	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
232	1549	metalloendopeptidase activity	molecular_function	GO:0004222
232	3588	proteolysis and peptidolysis	biological_process	GO:0006508
267	1549	metalloendopeptidase activity	molecular_function	GO:0004222
267	3588	proteolysis and peptidolysis	biological_process	GO:0006508
267	1554	insulysin activity	molecular_function	GO:0004231
292	1121	motor activity	molecular_function	GO:0003774
292	2653	ATP binding	molecular_function	GO:0005524
