feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	17382	17800	+						17363172	NGA_2019900	419		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	17382	17800	+	XM_005856335.1		XP_005856397.1	mrna (2 -o-methyladenosine-n)		17363172	NGA_2019900	419	419	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	17382	17800	+	XP_005856397.1		XM_005856335.1	mrna (2 -o-methyladenosine-n)		17363172	NGA_2019900	419	139	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	25578	25906	+						17363180	NGA_2098600	329		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	25578	25906	+	XM_005856343.1		XP_005856405.1	wd40 repeat domain-containing protein		17363180	NGA_2098600	329	329	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	25578	25906	+	XP_005856405.1		XM_005856343.1	wd40 repeat domain-containing protein		17363180	NGA_2098600	329	109	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	72172	73115	+						17363176	NGA_2078200	944		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	72172	73115	+	XM_005856339.1		XP_005856401.1	50s ribosomal protein l9		17363176	NGA_2078200	944	944	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	72172	73052	+	XP_005856401.1		XM_005856339.1	50s ribosomal protein l9		17363176	NGA_2078200	881	292	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	105376	105993	-						17363170	NGA_2111000	618		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	105376	105993	-	XM_005856344.1		XP_005856406.1	polyribonucleotide nucleotidyltransferase		17363170	NGA_2111000	618	618	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	105376	105954	-	XP_005856406.1		XM_005856344.1	polyribonucleotide nucleotidyltransferase		17363170	NGA_2111000	579	193	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	118542	119206	-						17363177	NGA_2096500	665		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	118542	119206	-	XM_005856342.1		XP_005856404.1	hypothetical protein		17363177	NGA_2096500	665	665	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	118635	119156	-	XP_005856404.1		XM_005856342.1	hypothetical protein		17363177	NGA_2096500	522	173	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	127043	128169	+						17363183	NGA_2017800	1127		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	127043	128169	+	XM_005856333.1		XP_005856395.1	dicer-1		17363183	NGA_2017800	1127	1127	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	127043	128169	+	XP_005856395.1		XM_005856333.1	dicer-1		17363183	NGA_2017800	1127	376	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	134563	136238	+					CSNK2B	17363174	NGA_2087400	1676		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	134563	136238	+	XM_005856341.1		XP_005856403.1	casein kinase II subunit beta	CSNK2B	17363174	NGA_2087400	1676	1676	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	134663	136114	+	XP_005856403.1		XM_005856341.1	casein kinase II subunit beta	CSNK2B	17363174	NGA_2087400	1452	483	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	152521	153541	-						17363182	NGA_2128900	1021		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	152521	153541	-	XM_005856346.1		XP_005856408.1	hypothetical protein		17363182	NGA_2128900	1021	1021	partial
