Gene ID	GO	KO
GFH05534	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05534" target="_blank">GFH05534</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006189" target="_blank">'de novo' IMP biosynthetic process (GO:0006189)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008716" target="_blank">D-alanine-D-alanine ligase activity (GO:0008716)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11808" target="_blank">K11808</a>
GFH05536	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05536" target="_blank">GFH05536</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008097" target="_blank">5S rRNA binding (GO:0008097)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02932" target="_blank">K02932</a>
GFH05549	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05549" target="_blank">GFH05549</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006338" target="_blank">chromatin remodeling (GO:0006338)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016818" target="_blank">hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043044" target="_blank">ATP-dependent chromatin remodeling (GO:0043044)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031491" target="_blank">nucleosome binding (GO:0031491)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11654" target="_blank">K11654</a>
GFH05550	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05550" target="_blank">GFH05550</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11654" target="_blank">K11654</a>
GFH05551	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05551" target="_blank">GFH05551</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10956" target="_blank">K10956</a>
GFH05554	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05554" target="_blank">GFH05554</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	
GFH05565	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05565" target="_blank">GFH05565</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005892" target="_blank">acetylcholine-gated channel complex (GO:0005892)</a>	
GFH05582	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05582" target="_blank">GFH05582</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20606" target="_blank">K20606</a>
GFH05583	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05583" target="_blank">GFH05583</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	
GFH05584	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05584" target="_blank">GFH05584</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a>	
GFH05585	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05585" target="_blank">GFH05585</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17499" target="_blank">K17499</a>
GFH05587	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05587" target="_blank">GFH05587</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003697" target="_blank">single-stranded DNA binding (GO:0003697)</a>	
GFH05591	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05591" target="_blank">GFH05591</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0098599" target="_blank">palmitoyl hydrolase activity (GO:0098599)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01074" target="_blank">K01074</a>
GFH05592	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05592" target="_blank">GFH05592</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000062" target="_blank">fatty-acyl-CoA binding (GO:0000062)</a>	
GFH05595	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05595" target="_blank">GFH05595</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a>	
GFH05598	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05598" target="_blank">GFH05598</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006741" target="_blank">NADP biosynthetic process (GO:0006741)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003951" target="_blank">NAD+ kinase activity (GO:0003951)</a>	
