Gene ID	GO
BathyCg00281	GO:0003899 GO:0003677 GO:0006351
BathyCg00010	GO:0003899 GO:0003677 GO:0006351
BathyCg00282	GO:0003899 GO:0003677 GO:0006351
BathyCg00040	GO:0006412 GO:0003735 GO:0015935
BathyCg00283	GO:0016020 GO:0009539 GO:0009523 GO:0015979
BathyCg00050	GO:0016020 GO:0042301 GO:0009523 GO:0050821 GO:0015979
BathyCg00287	GO:0015979 GO:0009522
BathyCg00288	GO:0009523 GO:0016021 GO:0015979
BathyCg00284	GO:0030094 GO:0015979 GO:0009522
BathyCg00060	GO:0005840 GO:0006412 GO:0005622 GO:0003735 GO:0019843
BathyCg00070	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyCg00285	GO:0006412 GO:0003735 GO:0015935
BathyCg00085	GO:0009055 GO:0009773 GO:0051539 GO:0042651 GO:0015979 GO:0009522
BathyCg00120	GO:0015986 GO:0045261 GO:0046961 GO:0046933
BathyCg00290	GO:0009539 GO:0009523 GO:0015979
BathyCg00125	GO:0016020 GO:0009539 GO:0009523 GO:0015979
BathyCg00286	GO:0015979 GO:0009522
BathyCg00130	GO:0003899 GO:0003677 GO:0006351
BathyCg00292	GO:0006413 GO:0003743 GO:0003723
BathyCg00140	GO:0015986 GO:0045263 GO:0015078
BathyCg00301	GO:0003899 GO:0003677 GO:0006351
BathyCg00303	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyCg00296	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyCg00304	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyCg00298	GO:0006412 GO:0003735 GO:0015935
BathyCg00190	GO:0006412 GO:0003735 GO:0015935
BathyCg00299	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyCg00305	GO:0009539 GO:0042549 GO:0009523 GO:0015979
BathyCg00306	GO:0009772 GO:0019684 GO:0045156
BathyCg00307	GO:0009772 GO:0016020 GO:0009521 GO:0009523 GO:0045156 GO:0019684 GO:0030076 GO:0016168 GO:0015979
BathyCg00308	GO:0016020 GO:0019684 GO:0009523 GO:0030076 GO:0045156 GO:0015979
BathyCg00240	GO:0009523 GO:0016168 GO:0015979
BathyCg00250	GO:0009055 GO:0016020 GO:0016491
BathyCg00309	GO:0016020 GO:0009539 GO:0009523 GO:0015979
BathyCg00310	GO:0016020 GO:0009539 GO:0009523 GO:0015979
BathyCg00311	GO:0009539 GO:0020037 GO:0019684 GO:0009523 GO:0009767 GO:0016021 GO:0015979
BathyCg00260	GO:0046872 GO:0009523 GO:0016021 GO:0015979
BathyCg00270	GO:0005524
BathyCg00312	GO:0006412 GO:0003735 GO:0015935
BathyMg00251	GO:0006412 GO:0003735 GO:0015935
BathyMg00020	GO:0016020 GO:0055114
BathyMg00030	GO:0015986 GO:0045263 GO:0015078
BathyMg00253	GO:0055114 GO:0008137
BathyMg00040	GO:0005507
BathyMg00050	GO:0016020 GO:0004129
BathyMg00060	GO:0042773 GO:0055114 GO:0008137
BathyMg00070	GO:0042773 GO:0055114 GO:0008137
BathyMg00080	GO:0042773 GO:0055114 GO:0008137
BathyMg00090	GO:0006412 GO:0003735 GO:0015935
BathyMg00100	GO:0009055 GO:0016020 GO:0016491
BathyMg00110	GO:0009055 GO:0020037 GO:0005506 GO:0016021 GO:0009060
BathyMg00120	GO:0015986 GO:0000276 GO:0015078
BathyMg00130	GO:0015986 GO:0000276 GO:0015078
BathyMg00140	GO:0051539 GO:0048038 GO:0055114 GO:0008137
BathyMg00150	GO:0016651 GO:0055114
BathyMg00155	GO:0055114 GO:0008137
BathyMg00170	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00180	GO:0006412 GO:0003735 GO:0015935
BathyMg00254	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00185	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00255	GO:0015934 GO:0006412 GO:0003735
BathyMg00260	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00256	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00257	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00261	GO:0005840 GO:0006412 GO:0003735 GO:0019843
BathyMg00258	GO:0005840 GO:0003723 GO:0006412 GO:0005622 GO:0003735
BathyMg00200	GO:0005840 GO:0006412 GO:0005622 GO:0003735
BathyMg00259	GO:0015986 GO:0045263 GO:0015078
BathyMg00210	GO:0003723
BathyMg00220	GO:0016651 GO:0042773 GO:0055114
BathyMg00262	GO:0015986 GO:0000276 GO:0015078
BathyMg00230	GO:0015986 GO:0000276 GO:0015078
BathyMg00240	GO:0009055 GO:0020037 GO:0005506 GO:0016021 GO:0009060
BathyMg00250	GO:0016020 GO:0009055 GO:0016491
Bathy01g00010	GO:0016787
Bathy01g00030	GO:0005515
Bathy01g00040	GO:0006486 GO:0030173 GO:0008373
Bathy01g00100	GO:0005515
Bathy01g00110	GO:0008440
Bathy01g00120	GO:0050660 GO:0016491
Bathy01g00130	GO:0006813 GO:0005249 GO:0008076
Bathy01g00140	GO:0004748 GO:0006260 GO:0005971
Bathy01g00170	GO:0005524
Bathy01g00190	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g00200	GO:0006457
Bathy01g00210	GO:0016787
Bathy01g00220	GO:0006508 GO:0004177 GO:0008235
Bathy01g00270	GO:0006508 GO:0004177 GO:0008235
Bathy01g00310	GO:0000502 GO:0042176 GO:0030234
Bathy01g00320	GO:0006614 GO:0048500 GO:0008312
Bathy01g00390	GO:0005524 GO:0016887
Bathy01g00410	GO:0016020
Bathy01g00420	GO:0016491
Bathy01g00440	GO:0005875 GO:0007017
Bathy01g00480	GO:0016788 GO:0006629
Bathy01g00490	GO:0020037
Bathy01g00500	GO:0008976 GO:0009358 GO:0006799
Bathy01g00520	GO:0005524
Bathy01g00540	GO:0005524
Bathy01g00570	GO:0009098 GO:0003861 GO:0009316
Bathy01g00590	GO:0045454
Bathy01g00600	GO:0005524
Bathy01g00620	GO:0003824
Bathy01g00630	GO:0016020 GO:0055085 GO:0046873 GO:0030001
Bathy01g00660	GO:0008152 GO:0003824 GO:0005488
Bathy01g00670	GO:0006508 GO:0008236
Bathy01g00690	GO:0006486 GO:0030173 GO:0008373
Bathy01g00700	GO:0004497 GO:0055114
Bathy01g00710	GO:0020037
Bathy01g00720	GO:0032302 GO:0005524 GO:0006298 GO:0030983 GO:0032301
Bathy01g00740	GO:0006281
Bathy01g00750	GO:0008152 GO:0016491
Bathy01g00760	GO:0006614 GO:0005525
Bathy01g00800	GO:0000049
Bathy01g00810	GO:0008270
Bathy01g00820	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy01g00840	GO:0000166
Bathy01g00860	GO:0043169 GO:0005975 GO:0003824
Bathy01g00880	GO:0016020 GO:0004427 GO:0009678
Bathy01g00900	GO:0016020 GO:0004427 GO:0009678
Bathy01g00910	GO:0005515
Bathy01g00930	GO:0005975 GO:0016868
Bathy01g00950	GO:0016020
Bathy01g00960	GO:0006357 GO:0016592
Bathy01g00980	GO:0005783 GO:0016021
Bathy01g01020	GO:0004806 GO:0006629
Bathy01g01040	GO:0005856 GO:0030041
Bathy01g01060	GO:0003824 GO:0051536
Bathy01g01080	GO:0005634 GO:0006352
Bathy01g01100	GO:0004252 GO:0006508
Bathy01g01110	GO:0004664 GO:0009094
Bathy01g01160	GO:0006281 GO:0005524 GO:0030870
Bathy01g01190	GO:0016020 GO:0006886 GO:0006605
Bathy01g01220	GO:0005524 GO:0016887
Bathy01g01240	GO:0005515
Bathy01g01260	GO:0005515
Bathy01g01270	GO:0016020 GO:0055085 GO:0006812 GO:0008324
Bathy01g01280	GO:0005515
Bathy01g01310	GO:0003824 GO:0051536
Bathy01g01340	GO:0009348 GO:0006520 GO:0004585
Bathy01g01380	GO:0003723
Bathy01g01390	GO:0003676
Bathy01g01410	GO:0006486 GO:0003980
Bathy01g01440	GO:0000287 GO:0004634 GO:0006096 GO:0000015
Bathy01g01460	GO:0006511
Bathy01g01470	GO:0005515 GO:0008270
Bathy01g01480	GO:0008565 GO:0005743 GO:0015031
Bathy01g01490	GO:0005524 GO:0006418 GO:0000166 GO:0006412 GO:0004812 GO:0005737
Bathy01g01500	GO:0016597 GO:0008152
Bathy01g01550	GO:0005622
Bathy01g01560	GO:0006457
Bathy01g01570	GO:0003723
Bathy01g01580	GO:0016705 GO:0016117
Bathy01g01590	GO:0003899 GO:0003677
Bathy01g01600	GO:0017150 GO:0050660 GO:0055114 GO:0008033
Bathy01g01620	GO:0005515
Bathy01g01660	GO:0000166
Bathy01g01670	GO:0009306 GO:0008565 GO:0016021 GO:0015031 GO:0005886
Bathy01g01700	GO:0006486 GO:0030173 GO:0008373
Bathy01g01710	GO:0006886 GO:0016192
Bathy01g01740	GO:0006396 GO:0008173
Bathy01g01780	GO:0005515
Bathy01g01820	GO:0005515
Bathy01g01830	GO:0005524 GO:0016887
Bathy01g01850	GO:0005515
Bathy01g01870	GO:0000166
Bathy01g01900	GO:0000287 GO:0003879 GO:0000105 GO:0005737
Bathy01g01910	GO:0005515
Bathy01g01920	GO:0008152 GO:0003824 GO:0005488
Bathy01g01970	GO:0005515
Bathy01g02020	GO:0000166
Bathy01g02030	GO:0006281 GO:0016251 GO:0006355 GO:0000439
Bathy01g02040	GO:0004519 GO:0003676
Bathy01g02080	GO:0006486 GO:0030173 GO:0008373
Bathy01g02130	GO:0000902
Bathy01g02140	GO:0051258 GO:0005525 GO:0003924
