#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
30789166	Cre01.g000017	Cre01.g000017.t1.1	Cre01.g000017.t1.1									
30788883	Cre01.g000033	Cre01.g000033.t1.1	Cre01.g000033.t1.1									
30788759	Cre01.g000050	Cre01.g000050.t1.1	Cre01.g000050.t1.1	PF02042	PTHR32002					AT4G35590.1		RWP-RK domain-containing protein
30789394	Cre01.g000100	Cre01.g000100.t1.1	Cre01.g000100.t1.1									
30789229	Cre01.g000150	Cre01.g000150.t1.2	Cre01.g000150.t1.2	PF02535	PTHR11040,PTHR11040:SF44			K14709	GO:0055085,GO:0046873,GO:0030001,GO:0016020	AT2G04032.1	ZIP7	zinc transporter 7 precursor
30788431	Cre01.g000200	Cre01.g000200.t1.1	Cre01.g000200.t1.1		PTHR34407							
30788448	Cre01.g000250	Cre01.g000250.t1.2	Cre01.g000250.t1.2	PF09335	PTHR12677,PTHR12677:SF5				GO:0016021	AT1G22850.1		SNARE associated Golgi protein family
30789049	Cre01.g000300	Cre01.g000300.t1.1	Cre01.g000300.t1.1	PF00561	PTHR10992,PTHR10992:SF702	KOG4409	2.3.1.51	K13535		AT4G24160.1		alpha/beta-Hydrolases superfamily protein
30788481	Cre01.g000350	Cre01.g000350.t1.1	Cre01.g000350.t1.1	PF00175	PTHR19370,PTHR19370:SF123		1.14.13.12		GO:0055114,GO:0016491	AT1G15140.1		FAD/NAD(P)-binding oxidoreductase
30789110	Cre01.g000400	Cre01.g000400.t1.2	Cre01.g000400.t1.2	PF03407	PTHR10994,PTHR10994:SF61					AT2G35610.1	XEG113	xyloglucanase 113
30788617	Cre01.g000450	Cre01.g000450.t1.2	Cre01.g000450.t1.2	PF03407	PTHR10994,PTHR10994:SF61					AT2G35610.1	XEG113	xyloglucanase 113
30788357	Cre01.g000500	Cre01.g000500.t1.1	Cre01.g000500.t1.1	PF03407	PTHR10994,PTHR10994:SF61					AT2G35610.1	XEG113	xyloglucanase 113
30789177	Cre01.g000550	Cre01.g000550.t1.2	Cre01.g000550.t1.2	PF03407	PTHR10994,PTHR10994:SF61					AT2G35610.1	XEG113	xyloglucanase 113
30789603	Cre01.g000600	Cre01.g000600.t1.2	Cre01.g000600.t1.2	PF08154,PF00400	PTHR19848,PTHR19848:SF0			K14855	GO:0005515	AT5G52820.1		WD-40 repeat family protein / notchless protein, putative
30788868	Cre01.g000650	Cre01.g000650.t1.1	Cre01.g000650.t1.1	PF02728,PF02727,PF01179	PTHR10638,PTHR10638:SF18	KOG1186	1.4.3.21	K00276	GO:0055114,GO:0048038,GO:0009308,GO:0008131,GO:0005507	AT2G42490.1		Copper amine oxidase family protein
30788738	Cre01.g000700	Cre01.g000700.t1.1	Cre01.g000700.t1.1	PF13639	PTHR14155,PTHR14155:SF170	KOG1493			GO:0008270,GO:0005515	AT3G03550.1		RING/U-box superfamily protein
30789450	Cre01.g000750	Cre01.g000750.t1.1	Cre01.g000750.t1.1	PF13920	PTHR14879	KOG4172	6.3.2.19			AT4G24204.3		RING/U-box superfamily protein
30788536	Cre01.g000800	Cre01.g000800.t1.2	Cre01.g000800.t1.2		PTHR36006,PTHR36006:SF2					AT1G78995.1		
30788537	Cre01.g000800	Cre01.g000800.t2.1	Cre01.g000800.t2.1		PTHR36006,PTHR36006:SF2					AT1G78995.1		
30789292	Cre01.g000850	Cre01.g000850.t1.2	Cre01.g000850.t1.2	PF11460	PTHR35734,PTHR35734:SF1					AT3G17930.1		
30788866	Cre01.g000900	Cre01.g000900.t1.2	Cre01.g000900.t1.2	PF07082	PTHR34127,PTHR34127:SF2					AT5G47860.1		Protein of unknown function (DUF1350)
30789479	Cre01.g000950	Cre01.g000950.t1.1	Cre01.g000950.t1.1	PF07690	PTHR23505,PTHR23505:SF21	KOG1330			GO:0055085,GO:0016021	AT5G64500.1		Major facilitator superfamily protein
30788363	Cre01.g001000	Cre01.g001000.t1.1	Cre01.g001000.t1.1									
30788546	Cre01.g001100	Cre01.g001100.t1.2	Cre01.g001100.t1.2									
30789149	Cre01.g001150	Cre01.g001150.t1.1	Cre01.g001150.t1.1									
30789333	Cre01.g001200	Cre01.g001200.t1.1	Cre01.g001200.t1.1	PF07714	PTHR23257		2.7.11.1		GO:0006468,GO:0004672	AT3G46920.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
30788501	Cre01.g001250	Cre01.g001250.t1.2	Cre01.g001250.t1.2									
30789566	Cre01.g001300	Cre01.g001300.t1.1	Cre01.g001300.t1.1		PTHR19862,PTHR19862:SF14							
30788846	Cre01.g001350	Cre01.g001350.t1.2	Cre01.g001350.t1.2	PF05992,PF00005,PF06472	PTHR11384,PTHR11384:SF3	KOG0060	3.6.3.47		GO:0016021,GO:0006810,GO:0005215,GO:0016887,GO:0005524,GO:0055085,GO:0042626	AT1G54350.1		ABC transporter family protein
30788589	Cre01.g001400	Cre01.g001400.t1.1	Cre01.g001400.t1.1	PF01457	PTHR10942,PTHR10942:SF0		3.4.24.36	K13539	GO:0016020,GO:0007155,GO:0006508,GO:0004222	AT5G42620.2		metalloendopeptidases;zinc ion binding
30789050	Cre01.g001450	Cre01.g001450.t1.2	Cre01.g001450.t1.2									
30788677	Cre01.g001501	Cre01.g001501.t1.1	Cre01.g001501.t1.1									
