Gene ID	GO	KOG	ENZYME
Naga_100091g9	<a href="http://www.nannochloropsis.org/gene/Naga_100091g9" target="_blank">Naga_100091g9</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>		
Naga_100091g8	<a href="http://www.nannochloropsis.org/gene/Naga_100091g8" target="_blank">Naga_100091g8</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">protein metabolic process (GO:0019538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016706" target="_blank">2-oxoglutarate-dependent dioxygenase activity (GO:0016706)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3710" target="_blank">KOG3710</a>	
Naga_100091g7	<a href="http://www.nannochloropsis.org/gene/Naga_100091g7" target="_blank">Naga_100091g7</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>		
Naga_100091g5	<a href="http://www.nannochloropsis.org/gene/Naga_100091g5" target="_blank">Naga_100091g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008237" target="_blank">metallopeptidase activity (GO:0008237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1046" target="_blank">KOG1046</a>	
Naga_100091g4	<a href="http://www.nannochloropsis.org/gene/Naga_100091g4" target="_blank">Naga_100091g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008483" target="_blank">transaminase activity (GO:0008483)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050459" target="_blank">ethanolamine-phosphate phospho-lyase activity (GO:0050459)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1403" target="_blank">KOG1403</a>	
Naga_100091g3	<a href="http://www.nannochloropsis.org/gene/Naga_100091g3" target="_blank">Naga_100091g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008483" target="_blank">transaminase activity (GO:0008483)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1403" target="_blank">KOG1403</a>	
Naga_100091g2	<a href="http://www.nannochloropsis.org/gene/Naga_100091g2" target="_blank">Naga_100091g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4350" target="_blank">KOG4350</a>	
Naga_100091g1	<a href="http://www.nannochloropsis.org/gene/Naga_100091g1" target="_blank">Naga_100091g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004806" target="_blank">triglyceride lipase activity (GO:0004806)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4569" target="_blank">KOG4569</a>	
Naga_100786g1	<a href="http://www.nannochloropsis.org/gene/Naga_100786g1" target="_blank">Naga_100786g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006397" target="_blank">mRNA processing (GO:0006397)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000245" target="_blank">spliceosomal complex assembly (GO:0000245)</a>		
Naga_100786g2	<a href="http://www.nannochloropsis.org/gene/Naga_100786g2" target="_blank">Naga_100786g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0858" target="_blank">KOG0858</a>	
Naga_100568g3	<a href="http://www.nannochloropsis.org/gene/Naga_100568g3" target="_blank">Naga_100568g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007585" target="_blank">respiratory gaseous exchange by respiratory system (GO:0007585)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005740" target="_blank">mitochondrial envelope (GO:0005740)</a>		
Naga_100836g1	<a href="http://www.nannochloropsis.org/gene/Naga_100836g1" target="_blank">Naga_100836g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0591" target="_blank">KOG0591</a>	
Naga_100836g2	<a href="http://www.nannochloropsis.org/gene/Naga_100836g2" target="_blank">Naga_100836g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3676" target="_blank">KOG3676</a>	
Naga_100626g1	<a href="http://www.nannochloropsis.org/gene/Naga_100626g1" target="_blank">Naga_100626g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005875" target="_blank">microtubule associated complex (GO:0005875)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0239" target="_blank">KOG0239</a>	
Naga_100671g2	<a href="http://www.nannochloropsis.org/gene/Naga_100671g2" target="_blank">Naga_100671g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003756" target="_blank">protein disulfide isomerase activity (GO:0003756)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0190" target="_blank">KOG0190</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.3.4.1" target="_blank">5.3.4.1</a>
Naga_100671g1	<a href="http://www.nannochloropsis.org/gene/Naga_100671g1" target="_blank">Naga_100671g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3667" target="_blank">KOG3667</a>	
Naga_100634g3	<a href="http://www.nannochloropsis.org/gene/Naga_100634g3" target="_blank">Naga_100634g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0010181" target="_blank">FMN binding (GO:0010181)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4558" target="_blank">KOG4558</a>	
