Gene ID	GO
BathyCg00281	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00281" target="_blank">BathyCg00281</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>
BathyCg00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00010" target="_blank">BathyCg00010</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>
BathyCg00282	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00282" target="_blank">BathyCg00282</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>
BathyCg00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00040" target="_blank">BathyCg00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyCg00283	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00283" target="_blank">BathyCg00283</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00050" target="_blank">BathyCg00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042301" target="_blank">GO:0042301</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050821" target="_blank">GO:0050821</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00287	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00287" target="_blank">BathyCg00287</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">GO:0009522</a>
BathyCg00288	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00288" target="_blank">BathyCg00288</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00284	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00284" target="_blank">BathyCg00284</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030094" target="_blank">GO:0030094</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">GO:0009522</a>
BathyCg00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00060" target="_blank">BathyCg00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019843" target="_blank">GO:0019843</a>
BathyCg00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00070" target="_blank">BathyCg00070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyCg00285	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00285" target="_blank">BathyCg00285</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
