Gene ID	GO	ENZYME	PANTHER	PFAM
Phatr3_Jdraft645	GO:0000166 GO:0005524 GO:0003824 GO:0008152 GO:0016874 GO:0003987 GO:0019427 GO:0016208	6.2.1.1	PTHR24095	PF00501 PF13193 PF16177
Phatr3_Jdraft1572	GO:0000287 GO:0006096 GO:0000015 GO:0004634 GO:0046872	4.2.1.11	PTHR11902	PF00113 PF03952
Phatr3_Jdraft825	GO:0006096 GO:0008270 GO:0003824 GO:0004332 GO:0005975 GO:0016832	4.1.2.13	PTHR30559	PF01116
Phatr3_Jdraft371	GO:0003824 GO:0008152 GO:0009234 GO:0008935	4.1.3.36	PTHR43113 PTHR43113:SF1	PF00378
Phatr3_Jdraft1166	GO:0016853 GO:0006457 GO:0000413 GO:0003755		PTHR43811 PTHR43811:SF19	PF00254
Phatr3_Jdraft223	GO:0016021		PTHR11266 PTHR11266:SF17	PF04117
Phatr3_Jdraft1571	GO:0016021 GO:0055085 GO:0016020		PTHR20772	PF07690
Phatr3_EG02344	GO:0016020 GO:0016021 GO:0016740 GO:0008270 GO:0046872 GO:0008152 GO:0016746 GO:0019706 GO:0005515 GO:0007051		PTHR24161 PTHR24161:SF17	PF00612 PF01529 PF12796
Phatr3_Jdraft1579	GO:0016020 GO:0016021		PTHR43596	
Phatr3_Jdraft1182	GO:0016020 GO:0016021			
Phatr3_Jdraft1192	GO:0000015 GO:0006096 GO:0004634 GO:0000287	4.2.1.11	PTHR11902	PF00113 PF03952
Phatr3_Jdraft375	GO:0004332 GO:0005975 GO:0016832 GO:0008270 GO:0006096 GO:0003824	4.1.2.13	PTHR30559 PTHR30559:SF0	PF01116
Phatr3_Jdraft1186	GO:0008152 GO:0016311 GO:0016791		PTHR19288 PTHR19288:SF33	PF13242 PF13344
Phatr3_Jdraft1583	GO:0005524 GO:0046872 GO:0000166		PTHR37018 PTHR37018:SF1	PF02655
Phatr3_Jdraft1189	GO:0016853 GO:0006457 GO:0000413 GO:0003755		PTHR43811 PTHR43811:SF19	PF00254
Phatr3_Jdraft310	GO:0005622 GO:0043565 GO:0046982 GO:0016602 GO:0006355 GO:0003700 GO:0005634 GO:0003677		PTHR10252 PTHR10252:SF8	PF00808
Phatr3_Jdraft1587	GO:0016021 GO:0055085 GO:0016020		PTHR20772	PF07690
Phatr3_EG01225	GO:0008270			PF04434
Phatr3_Jdraft1590	GO:0007064		PTHR12663 PTHR12663:SF0	
