locusName	arabi-defline
gw1.5.69.1	adaptin family protein
gw1.3.576.1	DNAJ heat shock N-terminal domain-containing protein
gw1.28.3.1	sec7 domain-containing protein
gw1.16.19.1	potassium transporter 1
gw1.11.350.1	plastidic GLC translocator
gw1.25.114.1	yeast YAK1-related gene 1
gw1.5.580.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
gw1.7.438.1	
gw1.25.117.1	ACT domain repeat 4
gw1.11.358.1	Transducin/WD40 repeat-like superfamily protein
gw1.6.449.1	putrescine-binding periplasmic protein-related
gw1.15.274.1	CLP protease proteolytic subunit 1
gw1.11.378.1	
gw1.15.276.1	plastid transcriptionally active 4
gw1.3.643.1	Sec14p-like phosphatidylinositol transfer family protein
gw1.3.658.1	nudix hydrolase homolog 23
gw1.14.368.1	non-intrinsic ABC protein 4
gw1.2.830.1	Integrase-type DNA-binding superfamily protein
gw1.25.127.1	trithorax-like protein 2
gw1.15.299.1	Uncharacterized conserved protein (DUF2358)
gw1.15.303.1	zinc knuckle (CCHC-type) family protein
gw1.10.31.1	beta-galactosidase 17
gw1.3.690.1	NADH dehydrogenase 2A
gw1.11.419.1	
gw1.6.553.1	
e_gw1.1.623.1	lipoyltransferase 2
e_gw1.1.88.1	homolog of histone chaperone HIRA
e_gw1.1.562.1	Galactose oxidase/kelch repeat superfamily protein
e_gw1.1.560.1	Fatty acid hydroxylase superfamily protein
e_gw1.1.445.1	ATPase family associated with various cellular activities (AAA)
e_gw1.1.47.1	ARM repeat superfamily protein
e_gw1.1.401.1	Uroporphyrinogen decarboxylase
e_gw1.1.188.1	Lysyl-tRNA synthetase, class II
e_gw1.1.602.1	Protein of unknown function DUF106, transmembrane
e_gw1.1.175.1	Leucine-rich repeat family protein
e_gw1.1.493.1	Endoplasmic reticulum vesicle transporter protein
e_gw1.1.783.1	response regulator 24
e_gw1.1.351.1	Protein kinase superfamily protein
e_gw1.1.631.1	translocase inner membrane subunit 17-2
e_gw1.1.256.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.1.200.1	Major facilitator superfamily protein
e_gw1.1.171.1	phosphofructokinase 5
e_gw1.1.167.1	ABC transporter 1
e_gw1.1.692.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.1.548.1	response regulator 2
e_gw1.1.209.1	calcium-dependent protein kinase 17
e_gw1.1.490.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.1.363.1	sorting nexin 1
e_gw1.1.84.1	SITE-1 protease
e_gw1.1.514.1	PS II oxygen-evolving complex 1
e_gw1.1.492.1	
e_gw1.1.672.1	electron transport SCO1/SenC family protein
e_gw1.1.99.1	ARM repeat superfamily protein
e_gw1.1.249.1	pyrimidine 2
e_gw1.1.600.1	Phospholipid/glycerol acyltransferase family protein
e_gw1.1.511.1	Sugar isomerase (SIS) family protein
e_gw1.1.719.1	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
e_gw1.1.376.1	Nucleotide-diphospho-sugar transferase family protein
e_gw1.1.678.1	Vacuolar protein sorting-associated protein VPS28 family protein
e_gw1.1.621.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.1.755.1	
e_gw1.1.9.1	pleiotropic drug resistance 3
e_gw1.1.655.1	tRNA (guanine-N-7) methyltransferase
e_gw1.1.617.1	Ribosomal protein L1p/L10e family
e_gw1.1.293.1	Beta-ketoacyl synthase
e_gw1.1.160.1	Peptidase S41 family protein
e_gw1.1.625.1	Tetratricopeptide repeat (TPR)-like superfamily protein
e_gw1.1.506.1	Protein of unknown function DUF92, transmembrane
e_gw1.1.647.1	Undecaprenyl pyrophosphate synthetase family protein
e_gw1.1.581.1	Glycosyl hydrolases family 32 protein
e_gw1.1.607.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.1.784.1	photosystem II subunit R
e_gw1.1.394.1	DNA/RNA-binding protein Kin17, conserved region
e_gw1.1.597.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.1.491.1	Mitochondrial substrate carrier family protein
e_gw1.1.774.1	Nucleotidyltransferase family protein
e_gw1.1.134.1	K+ uptake permease 11
e_gw1.1.89.1	magnesium ion binding;thiamin pyrophosphate binding;hydro-lyases;catalytics;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthases
e_gw1.1.184.1	
e_gw1.1.355.1	Protein kinase superfamily protein
