Gene ID	GO	KO	KOG	ENZYME	PANTHER
Vocar.0001s0002	GO:0003676				
Vocar.0001s0008	GO:0016746 GO:0016021 GO:0006506 GO:0005789	character(0) K05283	character(0) KOG0411		PTHR20661
Vocar.0001s0010	GO:0016747 GO:0006355	K11308	KOG2747	2.3.1.48	PTHR10615
Vocar.0001s0011	GO:0055114 GO:0050897 GO:0016636 GO:0010024			1.3.7.5	PTHR34557 PTHR34557:SF1
Vocar.0001s0012	GO:0016149 GO:0006415 GO:0005737	K03265			PTHR10113
Vocar.0001s0013	GO:0005634	K14782	KOG2773		PTHR15565 PTHR15565:SF0
Vocar.0001s0014	GO:0006508 GO:0004252			3.4.21.111	
Vocar.0001s0015	GO:0006355			2.7.13.3	PTHR31600 PTHR31600:SF2
Vocar.0001s0020	GO:0016020 GO:0004970				PTHR18966
Vocar.0001s0021	GO:0019370 GO:0008270 GO:0008237 GO:0006508	K01254		3.3.2.6	PTHR11533 PTHR11533:SF174
Vocar.0001s0022	GO:0005515				PTHR13833 PTHR13833:SF49
Vocar.0001s0023	GO:0008152 GO:0003824	K18660	KOG1176	6.2.1.3	PTHR24096 PTHR24096:SF253
Vocar.0001s0024	GO:0006508 GO:0004176	K11793	KOG1400		PTHR14255 PTHR14255:SF12
Vocar.0001s0026	GO:0003676	K12900 character(0)	KOG4207		PTHR23147
Vocar.0001s0028	GO:0016020 GO:0004970	K05198			PTHR18966
Vocar.0001s0029	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871		KOG4280	3.6.4.4	PTHR24115
Vocar.0001s0032	GO:0006457	K09568	KOG0544	5.2.1.8	PTHR10516
Vocar.0001s0033	GO:0015937 GO:0005524 GO:0004140		KOG3220	2.7.1.24	PTHR10695
Vocar.0001s0035	GO:0016758	K07432	KOG3349	2.4.1.141	PTHR12867
Vocar.0001s0038	GO:0055114 GO:0051537 GO:0016491				PTHR13847 PTHR13847:SF202
Vocar.0001s0040	GO:0016021	K08360	KOG1619	1.16.5.1	PTHR10106
Vocar.0001s0042	GO:0006886				
Vocar.0001s0043	GO:0043022 GO:0042256	K03264	KOG3185		PTHR10784
Vocar.0001s0044	GO:0051260				PTHR14499
Vocar.0001s0045	GO:0016758	K03715		2.4.1.46	PTHR21015 PTHR21015:SF28
Vocar.0001s0048	GO:0008168 GO:0008152	K18162		2.1.1.197	PTHR13090
Vocar.0001s0049	GO:0005515		KOG0867	2.5.1.18	PTHR11260
Vocar.0001s0050	GO:0036038 GO:0010826	K19348	KOG4611		PTHR21274 PTHR21274:SF0
Vocar.0001s0052	GO:0016491				PTHR10681 PTHR10681:SF68
Vocar.0001s0055	GO:0006468 GO:0004672		KOG0198	2.7.11.25	PTHR23257
Vocar.0001s0061	GO:0008270 GO:0005515				
Vocar.0001s0068	GO:0003735	K02902			PTHR13528 PTHR13528:SF2
Vocar.0001s0069	GO:0005680	K03348			PTHR12827
Vocar.0001s0070	GO:0006468 GO:0004672 GO:0005524		KOG0192 character(0)	2.7.10.1 2.7.11.1	PTHR23257
Vocar.0001s0073	GO:0006412 GO:0003735		KOG1715		
Vocar.0001s0075	GO:0008193 GO:0006400 GO:0000287	K10761	KOG2721	2.7.7.79	PTHR12729 PTHR12729:SF6
Vocar.0001s0077	GO:0005515	K03037	KOG0687		PTHR14145 PTHR14145:SF1
Vocar.0001s0081	GO:0008080			2.3.1.128	PTHR23091 PTHR23091:SF255
Vocar.0001s0082	GO:0008270 GO:0005515	K16274		6.3.2.19	PTHR22763
Vocar.0001s0083	GO:0016787 GO:0008152	K02083		3.5.3.9	PTHR32494 PTHR32494:SF7
Vocar.0001s0084	GO:0019211	K17605	KOG2867	5.2.1.8	PTHR10012
Vocar.0001s0085	GO:0005515				PTHR23231 PTHR23231:SF4
Vocar.0001s0086	GO:0016020 GO:0006897		KOG2500		PTHR12847 PTHR12847:SF3
Vocar.0001s0087	GO:0005515			2.1.1.43	PTHR12197 c("PTHR12197", "PTHR12197:SF145")
Vocar.0001s0088	GO:0016598 GO:0004057	K00685	KOG1193	2.3.2.8	PTHR21367 PTHR21367:SF1
Vocar.0001s0091	GO:0016887 GO:0005524	K12608	KOG2355	3.6.3.44	PTHR12847 PTHR12847:SF6
Vocar.0001s0095	GO:0055085 GO:0016021		KOG4332		PTHR23516 PTHR23516:SF1
Vocar.0001s0096	GO:0009378 GO:0006310 GO:0006281		KOG0737	3.6.1.3	PTHR23074 PTHR23074:SF20
Vocar.0001s0106	GO:0016020		KOG1134		PTHR13018 PTHR13018:SF5
Vocar.0001s0107	GO:0005515			2.7.11.1	PTHR13198
Vocar.0001s0111	GO:0033925 GO:0005737	K01227		3.2.1.96	PTHR13246 PTHR13246:SF1
Vocar.0001s0114	GO:0008641	K12164	KOG2336	2.7.7.80 2.8.1.11	PTHR10953 PTHR10953:SF9
Vocar.0001s0115	GO:0016787			3.6.1.22	PTHR22769 PTHR22769:SF7
Vocar.0001s0117	GO:0006468 GO:0005524 GO:0004672	K08830	KOG0594 KOG0659	2.7.11.22	PTHR24055 PTHR24055:SF72
Vocar.0001s0118	GO:0046872 GO:0005524 GO:0008716 GO:0005737	K14755		6.3.2.11	PTHR23132
Vocar.0001s0124	GO:0055114 GO:0016627 GO:0005737	K00207	KOG1799		PTHR11938 PTHR11938:SF87
Vocar.0001s0129	GO:0006418 GO:0000166 GO:0005524 GO:0004812 GO:0002161 GO:0006429 GO:0004823	K01869		6.1.1.4	PTHR11946 PTHR11946:SF7
Vocar.0001s0130	GO:0006355		KOG1513		PTHR12706 PTHR12706:SF13
Vocar.0001s0132	GO:0006468 GO:0004672		KOG0192	2.7.11.25	PTHR23257
Vocar.0001s0133	GO:0006468 GO:0004672		KOG0192	2.7.11.25	PTHR23257
Vocar.0001s0134	GO:0006468 GO:0004672		KOG0192	2.7.11.25	PTHR23257
Vocar.0001s0135	GO:0016779			2.7.7.19	PTHR23092
Vocar.0001s0136	GO:0055114 GO:0016491		KOG2665	1.1.99.2	PTHR13847 PTHR13847:SF207
Vocar.0001s0140	GO:0008199 GO:0006879 GO:0006826	K00522	KOG2332	1.16.3.1	PTHR11431 PTHR11431:SF4
Vocar.0001s0142	GO:0035556 GO:0016849 GO:0009190			4.6.1.2 4.6.1.1	PTHR11920
Vocar.0001s0143	GO:0003676	K12900 character(0)	KOG4207 character(0)		PTHR23147 character(0)
Vocar.0001s0144	GO:0006520		KOG0503	3.5.1.1	PTHR11707 PTHR11707:SF3
Vocar.0001s0145	GO:0008152 GO:0003824	K18482	KOG0975		PTHR11825 PTHR11825:SF40
Vocar.0001s0147	GO:0043085 GO:0016485 GO:0016021	K06172	KOG3972		PTHR12889 PTHR12889:SF0
