Gene ID	GO	KO
kfl00001_0070	kfl00001_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00001_0090	kfl00001_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0110	kfl00001_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051537" target="_blank">2 iron, 2 sulfur cluster binding (GO:0051537)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00001_0120	kfl00001_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004197" target="_blank">cysteine-type endopeptidase activity (GO:0004197)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008234" target="_blank">cysteine-type peptidase activity (GO:0008234)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01373" target="_blank">K01373</a>
kfl00001_0130	kfl00001_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005337" target="_blank">nucleoside transmembrane transporter activity (GO:0005337)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15014" target="_blank">K15014</a>
kfl00001_0140	kfl00001_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005337" target="_blank">nucleoside transmembrane transporter activity (GO:0005337)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15014" target="_blank">K15014</a>
kfl00001_0150	kfl00001_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0019310" target="_blank">inositol catabolic process (GO:0019310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050113" target="_blank">inositol oxygenase activity (GO:0050113)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00469" target="_blank">K00469</a>
kfl00001_0160	kfl00001_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0170	kfl00001_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046914" target="_blank">transition metal ion binding (GO:0046914)</a>	
kfl00001_0190	kfl00001_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
