proteinId	gotermId	goName	gotermType	goAcc
8	5830	metabolic process	biological_process	GO:0008152
8	5765	N-acetyltransferase activity	molecular_function	GO:0008080
9	11802	protein metabolic process	biological_process	GO:0019538
9	9907	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	molecular_function	GO:0016706
10	5939	zinc ion binding	molecular_function	GO:0008270
10	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
10	3838	nucleus	cellular_component	GO:0005634
10	2196	transcription factor activity	molecular_function	GO:0003700
12	5939	zinc ion binding	molecular_function	GO:0008270
12	5909	metallopeptidase activity	molecular_function	GO:0008237
12	3708	binding	molecular_function	GO:0005488
13	5939	zinc ion binding	molecular_function	GO:0008270
13	5909	metallopeptidase activity	molecular_function	GO:0008237
13	3708	binding	molecular_function	GO:0005488
14	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
14	6140	transaminase activity	molecular_function	GO:0008483
14	23719	ethanolamine-phosphate phospho-lyase activity	molecular_function	GO:0050459
15	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
15	6140	transaminase activity	molecular_function	GO:0008483
16	3727	protein binding	molecular_function	GO:0005515
17	4758	lipid metabolic process	biological_process	GO:0006629
17	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
26	4542	mRNA processing	biological_process	GO:0006397
26	3930	cytoplasm	cellular_component	GO:0005737
26	3838	nucleus	cellular_component	GO:0005634
26	2216	RNA binding	molecular_function	GO:0003723
26	241	spliceosome assembly	biological_process	GO:0000245
27	3708	binding	molecular_function	GO:0005488
37	5640	respiratory gaseous exchange	biological_process	GO:0007585
37	3932	mitochondrial envelope	cellular_component	GO:0005740
42	4602	protein amino acid phosphorylation	biological_process	GO:0006468
42	3736	ATP binding	molecular_function	GO:0005524
42	3043	protein kinase activity	molecular_function	GO:0004672
42	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
43	9320	membrane	cellular_component	GO:0016020
43	4928	ion transport	biological_process	GO:0006811
43	3547	ion channel activity	molecular_function	GO:0005216
45	5113	microtubule-based movement	biological_process	GO:0007018
45	4051	microtubule associated complex	cellular_component	GO:0005875
45	3736	ATP binding	molecular_function	GO:0005524
45	2244	microtubule motor activity	molecular_function	GO:0003777
51	2234	protein disulfide isomerase activity	molecular_function	GO:0003756
52	3727	protein binding	molecular_function	GO:0005515
53	7744	FMN binding	molecular_function	GO:0010181
57	4513	rRNA processing	biological_process	GO:0006364
57	3838	nucleus	cellular_component	GO:0005634
57	2216	RNA binding	molecular_function	GO:0003723
57	19316	monomethylamine methyltransferase activity	molecular_function	GO:0043852
57	19315	methanol-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043851
57	19298	trimethylamine methyltransferase activity	molecular_function	GO:0043834
57	19297	methylamine-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043833
57	19291	tRNA (adenine-57, 58-N(1)-) methyltransferase activity	molecular_function	GO:0043827
57	19267	hydroxyneurosporene-O-methyltransferase activity	molecular_function	GO:0043803
57	19255	dimethylamine methyltransferase activity	molecular_function	GO:0043791
57	19254	dimethyladenosine transferase activity	molecular_function	GO:0043790
57	19246	cobalt-precorrin-3 C17-methyltransferase activity	molecular_function	GO:0043782
57	19244	cobalt-precorrin-5B C1-methyltransferase activity	molecular_function	GO:0043780
57	19241	cobalt-precorrin-7 C15-methyltransferase activity	molecular_function	GO:0043777
57	19240	cobalt-precorrin-6B C5-methyltransferase activity	molecular_function	GO:0043776
57	19234	demethylmenaquinone methyltransferase activity	molecular_function	GO:0043770
57	13642	methylarsonite methyltransferase activity	molecular_function	GO:0030792
57	11960	protein-arginine N5-methyltransferase activity	molecular_function	GO:0019702
57	11011	1-phenanthrol methyltransferase activity	molecular_function	GO:0018707
57	10743	protein-leucine O-methyltransferase activity	molecular_function	GO:0018423
57	9664	rRNA (uridine) methyltransferase activity	molecular_function	GO:0016436
57	9663	rRNA (guanine) methyltransferase activity	molecular_function	GO:0016435
57	9662	rRNA (cytosine) methyltransferase activity	molecular_function	GO:0016434
57	9661	rRNA (adenine) methyltransferase activity	molecular_function	GO:0016433
57	9659	tRNA (uridine) methyltransferase activity	molecular_function	GO:0016431
57	9655	tRNA (cytosine)-methyltransferase activity	molecular_function	GO:0016427
57	9654	tRNA (adenine)-methyltransferase activity	molecular_function	GO:0016426
57	9653	tRNA (guanosine) methyltransferase activity	molecular_function	GO:0016424
57	9652	tRNA (guanine) methyltransferase activity	molecular_function	GO:0016423
57	9572	tRNA (uracil) methyltransferase activity	molecular_function	GO:0016300
57	9557	protein-lysine N-methyltransferase activity	molecular_function	GO:0016279
57	9556	lysine N-methyltransferase activity	molecular_function	GO:0016278
57	9553	protein-arginine N-methyltransferase activity	molecular_function	GO:0016274
57	9552	arginine N-methyltransferase activity	molecular_function	GO:0016273
57	9489	selenocysteine methyltransferase activity	molecular_function	GO:0016205
57	6977	rRNA (cytosine-C5-967)-methyltransferase activity	molecular_function	GO:0009383
57	6619	DNA-methyltransferase activity	molecular_function	GO:0009008
57	6282	rRNA (uridine-2prime-O-)-methyltransferase activity	molecular_function	GO:0008650
57	6281	rRNA methyltransferase activity	molecular_function	GO:0008649
57	6085	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	GO:0008425
57	5992	site-specific DNA-methyltransferase (cytosine-specific) activity	molecular_function	GO:0008326
57	5945	protein methyltransferase activity	molecular_function	GO:0008276
57	5853	tRNA methyltransferase activity	molecular_function	GO:0008175
57	5852	mRNA methyltransferase activity	molecular_function	GO:0008174
57	5851	RNA methyltransferase activity	molecular_function	GO:0008173
57	5850	S-methyltransferase activity	molecular_function	GO:0008172
57	5849	O-methyltransferase activity	molecular_function	GO:0008171
57	5848	N-methyltransferase activity	molecular_function	GO:0008170
57	5847	C-methyltransferase activity	molecular_function	GO:0008169
57	2346	C-terminal protein carboxyl methyltransferase activity	molecular_function	GO:0003880
57	175	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	GO:0000179
58	2175	nucleic acid binding	molecular_function	GO:0003676
59	2175	nucleic acid binding	molecular_function	GO:0003676
59	9367	mRNA metabolic process	biological_process	GO:0016071
62	5939	zinc ion binding	molecular_function	GO:0008270
62	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
62	3838	nucleus	cellular_component	GO:0005634
62	2196	transcription factor activity	molecular_function	GO:0003700
67	2176	DNA binding	molecular_function	GO:0003677
69	5851	RNA methyltransferase activity	molecular_function	GO:0008173
69	4541	RNA processing	biological_process	GO:0006396
69	2216	RNA binding	molecular_function	GO:0003723
73	4602	protein amino acid phosphorylation	biological_process	GO:0006468
73	3736	ATP binding	molecular_function	GO:0005524
73	3043	protein kinase activity	molecular_function	GO:0004672
73	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
73	4123	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
73	3058	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
75	9320	membrane	cellular_component	GO:0016020
75	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
81	4591	protein folding	biological_process	GO:0006457
81	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
82	21401	protein dimerization activity	molecular_function	GO:0046983
82	19030	sequence-specific DNA binding	molecular_function	GO:0043565
82	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
82	3838	nucleus	cellular_component	GO:0005634
82	2196	transcription factor activity	molecular_function	GO:0003700
85	4598	protein modification process	biological_process	GO:0006464
85	3195	tubulin-tyrosine ligase activity	molecular_function	GO:0004835
86	10083	endodeoxyribonuclease activity, producing 5prime-phosphomonoesters	molecular_function	GO:0016888
87	4143	carbohydrate metabolic process	biological_process	GO:0005975
87	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
87	10154	mannan endo-1,4-beta-mannosidase activity	molecular_function	GO:0016985
92	3708	binding	molecular_function	GO:0005488
94	3737	GTP binding	molecular_function	GO:0005525
94	18631	ATP-dependent 5prime-3prime DNA helicase activity	molecular_function	GO:0043141
94	11456	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
94	11455	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
94	9684	pyrophosphatase activity	molecular_function	GO:0016462
94	6447	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
94	6416	bis(5prime-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
94	6379	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
94	6073	8-oxo-7,8-dihydroguanine triphosphatase activity	molecular_function	GO:0008413
94	3147	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
94	611	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
96	2216	RNA binding	molecular_function	GO:0003723
96	17778	ribosome assembly	biological_process	GO:0042255
96	3838	nucleus	cellular_component	GO:0005634
96	3727	protein binding	molecular_function	GO:0005515
97	9321	integral to membrane	cellular_component	GO:0016021
99	13011	membrane coat	cellular_component	GO:0030117
99	9480	vesicle-mediated transport	biological_process	GO:0016192
99	4994	intracellular protein transport	biological_process	GO:0006886
99	4595	protein complex assembly	biological_process	GO:0006461
99	3727	protein binding	molecular_function	GO:0005515
99	13020	COPI vesicle coat	cellular_component	GO:0030126
99	6212	protein transporter activity	molecular_function	GO:0008565
99	3530	structural molecule activity	molecular_function	GO:0005198
99	3708	binding	molecular_function	GO:0005488
102	3736	ATP binding	molecular_function	GO:0005524
102	2792	helicase activity	molecular_function	GO:0004386
102	2175	nucleic acid binding	molecular_function	GO:0003676
102	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
103	5113	microtubule-based movement	biological_process	GO:0007018
103	4051	microtubule associated complex	cellular_component	GO:0005875
103	3736	ATP binding	molecular_function	GO:0005524
103	2244	microtubule motor activity	molecular_function	GO:0003777
104	5955	protein serine/threonine phosphatase complex	cellular_component	GO:0008287
104	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
104	3088	protein serine/threonine phosphatase activity	molecular_function	GO:0004722
104	2290	catalytic activity	molecular_function	GO:0003824
104	10190	myosin phosphatase complex	cellular_component	GO:0017023
104	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
104	10186	myosin phosphatase activity	molecular_function	GO:0017018
104	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
104	6080	CTD phosphatase activity	molecular_function	GO:0008420
104	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
104	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
104	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
104	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
107	9710	oxidoreductase activity	molecular_function	GO:0016491
107	7744	FMN binding	molecular_function	GO:0010181
107	9836	12-oxophytodienoate reductase activity	molecular_function	GO:0016629
110	6917	phosphoribosylaminoimidazole carboxylase complex	cellular_component	GO:0009320
110	4351	primede novoprime IMP biosynthetic process	biological_process	GO:0006189
110	3012	phosphoribosylaminoimidazole carboxylase activity	molecular_function	GO:0004638
110	3736	ATP binding	molecular_function	GO:0005524
110	2290	catalytic activity	molecular_function	GO:0003824
112	4691	proline biosynthetic process	biological_process	GO:0006561
112	3101	pyrroline-5-carboxylate reductase activity	molecular_function	GO:0004735
112	9710	oxidoreductase activity	molecular_function	GO:0016491
113	4591	protein folding	biological_process	GO:0006457
113	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
113	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
113	2975	cyclophilin	molecular_function	GO:0004600
113	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
115	9957	transferase activity, transferring hexosyl groups	molecular_function	GO:0016758
115	9321	integral to membrane	cellular_component	GO:0016021
115	21343	alpha(1,6)-fucosyltransferase activity	molecular_function	GO:0046921
115	21342	alpha(1,3)-fucosyltransferase activity	molecular_function	GO:0046920
115	20962	glucosyltransferase activity	molecular_function	GO:0046527
115	19616	inositol phosphoceramide synthase activity	molecular_function	GO:0045140
