Gene ID	GO	KO	KOG	ENZYME	PANTHER
gw1.5.69.1	GO:0006886 GO:0016192 GO:0030117		KOG1061		PTHR11134:SF4 PTHR11134
gw1.3.576.1	GO:0031072		KOG0718		PTHR24078:SF15 PTHR24078
gw1.28.3.1	GO:0005086 GO:0032012 GO:0005622		KOG0928		PTHR10663 PTHR10663:SF6
gw1.16.19.1	GO:0015079 GO:0071805 GO:0016020				
gw1.11.350.1	GO:0022857 GO:0055085 GO:0016021		KOG0254		PTHR24063
gw1.25.114.1	GO:0004672 GO:0005524 GO:0006468	K00924	KOG0671	2.7.1.-	PTHR24058:SF120 PTHR24058
gw1.7.438.1	GO:0016787				
gw1.25.117.1	GO:0016597 GO:0008152				PTHR13734:SF23 PTHR13734
gw1.11.358.1	GO:0005515	K11790	KOG0277		PTHR22852
gw1.15.274.1	GO:0004252 GO:0006508				PTHR10381 PTHR10381:SF3
gw1.3.658.1	GO:0016787				PTHR22769
gw1.14.368.1	GO:0006897 GO:0016020				PTHR12847
gw1.2.830.1	GO:0003700 GO:0006355				PTHR11795:SF332 PTHR11795
gw1.25.127.1	GO:0005515	K11380			PTHR13793:SF46 PTHR13793
gw1.15.303.1	GO:0003676 GO:0008270	K09250			
gw1.10.31.1	GO:0004553 GO:0005975 GO:0004565 GO:0009341	K12309	KOG0496	3.2.1.23	PTHR23421 PTHR23421:SF13
gw1.3.690.1	GO:0008137 GO:0042773 GO:0055114	K03879		1.6.5.3	PTHR22773:SF41 PTHR22773
e_gw1.1.623.1	GO:0003824 GO:0006464 GO:0016415 GO:0009107 GO:0005737	K03801	KOG0325	2.3.1.181	PTHR10993 PTHR10993:SF0
e_gw1.1.88.1	GO:0005515 GO:0006355 GO:0005634	K11293	KOG0973		PTHR13831
e_gw1.1.560.1	GO:0005506 GO:0016491 GO:0006633 GO:0055114				PTHR11863:SF20 PTHR11863
e_gw1.1.445.1	GO:0005524 GO:0003677 GO:0003887 GO:0006260 GO:0009360 GO:0005634	K10756	KOG2035		PTHR11669
e_gw1.1.47.1	GO:0008565 GO:0006886		KOG2274		PTHR10997:SF9 PTHR10997
e_gw1.1.401.1	GO:0004853 GO:0006779		KOG2872		PTHR21091 PTHR21091:SF2
e_gw1.1.188.1	GO:0000166 GO:0004812 GO:0005524 GO:0006418 GO:0005737 GO:0003676 GO:0006412	K04567	KOG1885	6.1.1.6	PTHR22594 PTHR22594:SF4
e_gw1.1.602.1	GO:0016020		KOG3188		PTHR13116 PTHR13116:SF5
e_gw1.1.783.1	GO:0000156 GO:0000160 GO:0006355	K11231		2.7.13.3	PTHR24423
e_gw1.1.631.1	GO:0015031 GO:0008565 GO:0005743		KOG1652		PTHR10485
e_gw1.1.256.1	GO:0005524 GO:0003678 GO:0006260 GO:0016887	K11338	KOG2680	3.6.4.12	PTHR11093
e_gw1.1.200.1	GO:0055085 GO:0016021	K13783	KOG2533		PTHR11662:SF82 PTHR11662
e_gw1.1.171.1	GO:0003872 GO:0006096 GO:0005945				PTHR13697
e_gw1.1.692.1	GO:0003824 GO:0050662 GO:0044237 GO:0006813				PTHR15020
e_gw1.1.548.1	GO:0000156 GO:0000160 GO:0006355 GO:0003677	K14491			PTHR26402:SF38 PTHR26402
e_gw1.1.209.1	GO:0004672 GO:0005524 GO:0006468		KOG0032		PTHR24347 PTHR24347:SF13
e_gw1.1.490.1	GO:0005515		KOG1007		PTHR14205
e_gw1.1.363.1	GO:0005515 GO:0035091 GO:0007154		KOG2273		PTHR10555:SF73 PTHR10555
e_gw1.1.84.1	GO:0004252 GO:0006508	K08653	KOG4266	3.4.21.112	PTHR10795 PTHR10795:SF30
e_gw1.1.514.1	GO:0005509 GO:0015979 GO:0042549 GO:0009523 GO:0009654 GO:0019898				
e_gw1.1.492.1	GO:0006629				
e_gw1.1.672.1	GO:0016209 GO:0016491 GO:0055114	K07152			PTHR12151
e_gw1.1.99.1	GO:0005515 GO:0008565 GO:0006886	K14293	KOG1241		PTHR10527:SF1 PTHR10527
e_gw1.1.249.1	GO:0016787	K01464	KOG2584	3.5.2.2	PTHR11647:SF1 PTHR11647
e_gw1.1.600.1	GO:0016746 GO:0008152	K13511	KOG2847	2.3.1.-	PTHR12497
e_gw1.1.511.1	GO:0005515 GO:0005975				PTHR10937
e_gw1.1.719.1	GO:0003755 GO:0006457		KOG0879		PTHR11071 PTHR11071:SF99
e_gw1.1.376.1	GO:0005783				PTHR10994:SF3 PTHR10994
e_gw1.1.621.1	GO:0016491 GO:0008152 GO:0003824 GO:0050662 GO:0044237	K08081	KOG0725	1.1.1.206	PTHR24310 PTHR24310:SF66
e_gw1.1.9.1	GO:0005524 GO:0016887 GO:0016020		KOG0065		PTHR19241 PTHR19241:SF10
e_gw1.1.655.1	GO:0008176 GO:0006400	K03439	KOG3115	2.1.1.33	PTHR23417:SF1 PTHR23417
e_gw1.1.617.1	GO:0003723 GO:0003735 GO:0006412 GO:0015934		KOG1570		PTHR23105:SF3 PTHR23105
e_gw1.1.293.1	GO:0016747 GO:0008152 GO:0009058 GO:0003824	K09458	KOG1394	2.3.1.179	PTHR11712:SF23 PTHR11712
e_gw1.1.160.1	GO:0005515 GO:0008236 GO:0006508				PTHR18868:SF18 PTHR18868
e_gw1.1.625.1	GO:0005515				PTHR23083 PTHR23083:SF20
e_gw1.1.506.1	GO:0016021		KOG4491		PTHR13353
e_gw1.1.647.1	GO:0016765	K11778	KOG1602	2.5.1.-	PTHR10291
e_gw1.1.607.1	GO:0004719 GO:0006464 GO:0008168 GO:0008152	K06127	KOG1540	2.1.1.-	PTHR10108 PTHR10108:SF236
e_gw1.1.784.1	GO:0015979 GO:0009523 GO:0009654 GO:0042651	K03541			
e_gw1.1.597.1	GO:0016491 GO:0008152		KOG1611		PTHR24322:SF18 PTHR24322
e_gw1.1.134.1	GO:0015079 GO:0071805 GO:0016020				
e_gw1.1.89.1	GO:0003824 GO:0030976 GO:0070204 GO:0009234				PTHR18968:SF3 PTHR18968
e_gw1.1.355.1	GO:0004672 GO:0005524 GO:0006468	K08827	KOG0671	2.7.11.1	PTHR24056 PTHR24056:SF17
e_gw1.1.720.1	GO:0008152	K01704		4.2.1.33 4.2.1.35	PTHR11670 PTHR11670:SF2
gw1.5.79.1	GO:0000166 GO:0046872 GO:0003824 GO:0008152	K01534		3.6.3.3 3.6.3.5	PTHR24093 PTHR24093:SF31
e_gw1.1.195.1	GO:0004657 GO:0006537 GO:0006562 GO:0055114	K00318	KOG0186	1.5.99.8	PTHR13914
e_gw1.1.736.1	GO:0004553 GO:0005975				
e_gw1.1.10.1	GO:0016787 GO:0003824	K01469	KOG1939	3.5.2.9	PTHR11365
e_gw1.1.312.1	GO:0005515		KOG0316		PTHR19865
e_gw1.1.59.1	GO:0003676 GO:0008270 GO:0003677 GO:0003916 GO:0006265 GO:0005694 GO:0003917	K03165	KOG1956	5.99.1.2	PTHR11390:SF17 PTHR11390
e_gw1.1.431.1	GO:0008270				PTHR24209 PTHR24209:SF104
e_gw1.1.613.1	GO:0004672 GO:0005524 GO:0006468		KOG0192		PTHR23257
e_gw1.1.496.1	GO:0003824 GO:0050662 GO:0044237	K07071	KOG3019		PTHR11092
e_gw1.1.409.1	GO:0005515	K11462	KOG1034		PTHR10253 PTHR10253:SF2
e_gw1.1.605.1	GO:0008839 GO:0009089 GO:0055114 GO:0070402	K00215		1.3.1.26	PTHR20836
e_gw1.1.179.1	GO:0003676 GO:0004386 GO:0005524 GO:0016817		KOG0953		PTHR12131
e_gw1.1.72.1	GO:0003677 GO:0003887 GO:0006260 GO:0003676 GO:0008408 GO:0006139 GO:0005622	K02335		2.7.7.7	PTHR10133 PTHR10133:SF20
e_gw1.1.754.1	GO:0003677 GO:0043565 GO:0005622				PTHR11064 PTHR11064:SF9
e_gw1.1.115.1	GO:0005524 GO:0016887		KOG0062		PTHR19211:SF7 PTHR19211
e_gw1.1.439.1	GO:0004177 GO:0006508		KOG1454		PTHR11731
e_gw1.1.525.1	GO:0004672 GO:0005524 GO:0006468		KOG0580		PTHR24349:SF103 PTHR24349
e_gw1.1.534.1	GO:0005515	K01090	KOG1605	3.1.3.16	PTHR10666 PTHR10666:SF86
e_gw1.1.173.1	GO:0005524 GO:0016887 GO:0006810 GO:0016020	K05677	KOG0064		PTHR11384
e_gw1.1.673.1	GO:0005524 GO:0016887				PTHR24220:SF117 PTHR24220
e_gw1.1.20.1	GO:0016740 GO:0008168 GO:0008276 GO:0006479 GO:0005737 GO:0008152	K11438	KOG1499	2.1.1.-	PTHR11006 PTHR11006:SF5
e_gw1.1.219.1	GO:0006904 GO:0016192		KOG1299		PTHR11679:SF3 PTHR11679
e_gw1.1.279.1	GO:0005471 GO:0005524 GO:0006810 GO:0016021				
e_gw1.1.286.1	GO:0016787		KOG1378		PTHR22953
e_gw1.1.753.1	GO:0004602 GO:0006979 GO:0055114				PTHR11592
e_gw1.1.790.1	GO:0008270 GO:0016787 GO:0055114 GO:0009231 GO:0008835 GO:0008703	K11752	KOG1018	1.1.1.193 3.5.4.26	PTHR11079:SF10 PTHR11079
e_gw1.1.614.1	GO:0008168 GO:0008757 GO:0009312 GO:0009877 GO:0008152		KOG1271		PTHR12176
e_gw1.1.642.1	GO:0004784 GO:0046872 GO:0006801 GO:0055114	K04564	KOG0876	1.15.1.1	PTHR11404 PTHR11404:SF9
e_gw1.1.190.1	GO:0008703 GO:0009231 GO:0055114				PTHR11079:SF14 PTHR11079
e_gw1.1.480.1	GO:0004332 GO:0006096		KOG1557		PTHR11627
e_gw1.1.689.1	GO:0005515		KOG4214		
e_gw1.1.747.1	GO:0005198 GO:0009507				
e_gw1.2.752.1	GO:0005515		KOG2171		PTHR10527 PTHR10527:SF5
e_gw1.2.366.1	GO:0004672 GO:0005524 GO:0006468	K04345	KOG0616	2.7.11.11	PTHR24353
e_gw1.2.290.1	GO:0042578				PTHR11200
e_gw1.2.764.1	GO:0003677 GO:0004003 GO:0005524 GO:0005634 GO:0016818 GO:0006289	K10844	KOG1131	3.6.4.12	PTHR11472:SF1 PTHR11472
e_gw1.2.501.1	GO:0003700 GO:0006355				
e_gw1.2.215.1	GO:0005524		KOG0651		PTHR11603 PTHR11603:SF153
e_gw1.2.440.1	GO:0004672 GO:0005524 GO:0006468	K08824	KOG0593	2.7.11.22	PTHR24056 PTHR24056:SF92
e_gw1.2.797.1	GO:0004672 GO:0005524 GO:0006468 GO:0016773 GO:0009103 GO:0016020	K04371	KOG0660	2.7.11.24	PTHR24055
e_gw1.2.720.1	GO:0045454 GO:0015035 GO:0009055 GO:0006662		KOG0907		PTHR10438:SF82 PTHR10438
e_gw1.2.359.1	GO:0016740 GO:0030170 GO:0009058 GO:0008152 GO:0006520 GO:0016769	K00639	KOG1359	2.3.1.29	PTHR13693:SF14 PTHR13693
e_gw1.2.433.1	GO:0008612	K00809	KOG2924	2.5.1.46	PTHR11703
e_gw1.2.116.1	GO:0005524 GO:0003677 GO:0003918 GO:0006265 GO:0005694				
e_gw1.2.656.1	GO:0016787		KOG0142		PTHR23422:SF1 PTHR23422
e_gw1.2.283.1	GO:0016740 GO:0016785	K03341	KOG3843	2.9.1.2	PTHR12944
e_gw1.2.135.1	GO:0000166 GO:0004812 GO:0005524 GO:0006418 GO:0005737 GO:0003676 GO:0006412	K04567	KOG1885	6.1.1.6	PTHR22594 PTHR22594:SF4
e_gw1.2.379.1	GO:0008236 GO:0006508	K01285	KOG2182	3.4.16.2	PTHR11010 PTHR11010:SF14
gw1.4.105.1	GO:0004672 GO:0005524 GO:0006468	K08876	KOG1243		PTHR12984:SF3 PTHR12984
e_gw1.2.93.1	GO:0005622 GO:0003684 GO:0003887 GO:0006281	K03515	KOG2094	2.7.7.-	PTHR11076 PTHR11076:SF13
e_gw1.2.321.1	GO:0016740 GO:0030170 GO:0009058 GO:0008152 GO:0006520	K01761	KOG0053	4.4.1.11	PTHR11808 PTHR11808:SF9
e_gw1.2.799.1	GO:0005524 GO:0016310 GO:0016301	K00872	KOG1537	2.7.1.39	PTHR20861:SF1 PTHR20861
e_gw1.2.603.1	GO:0008270 GO:0006281 GO:0006355	K03029	KOG2884		PTHR10223
e_gw1.2.289.1	GO:0004399 GO:0008270 GO:0051287 GO:0000105 GO:0055114	K00013	KOG2697	1.1.1.23	PTHR21256:SF2 PTHR21256
e_gw1.2.57.1	GO:0003677 GO:0005524 GO:0006260 GO:0016851 GO:0015979 GO:0015995 GO:0016887	K02540	KOG0477		PTHR11630 PTHR11630:SF44
e_gw1.2.490.1	GO:0008652	K00930		2.7.2.- 2.7.2.8	PTHR24802:SF2 PTHR24802
e_gw1.2.49.1	GO:0005524 GO:0008134 GO:0006355 GO:0019538 GO:0016887		KOG1051		PTHR11638 PTHR11638:SF50
e_gw1.2.231.1	GO:0008168 GO:0008276 GO:0006479 GO:0005737 GO:0008152	K11436	KOG1499	2.1.1.-	PTHR11006
e_gw1.2.482.1	GO:0004725 GO:0006470 GO:0008138	K06639	KOG1720	3.1.3.48	PTHR23339 PTHR23339:SF27
e_gw1.2.88.1	GO:0003677 GO:0004003 GO:0005524	K11136	KOG1132		PTHR11472:SF4 PTHR11472
e_gw1.2.491.1	GO:0031072 GO:0051082 GO:0006457		KOG0713		PTHR24076:SF80 PTHR24076
e_gw1.2.386.1	GO:0009058	K03843	KOG0853	2.4.1.- 2.4.1.132	PTHR12526 PTHR12526:SF22
e_gw1.2.153.1	GO:0000166 GO:0004812 GO:0005524 GO:0006418 GO:0005737 GO:0003676 GO:0006412 GO:0016874	K01876	KOG2411	6.1.1.12	PTHR22594 PTHR22594:SF5
e_gw1.2.90.1	GO:0003676 GO:0005524 GO:0008026 GO:0004386 GO:0003677 GO:0016787				PTHR11752 PTHR11752:SF4
e_gw1.2.695.1	GO:0003676	K12876			PTHR24011 PTHR24011:SF283
e_gw1.2.408.1	GO:0016757 GO:0008152	K00766	KOG1438	2.4.2.18	PTHR11922 PTHR11922:SF5
e_gw1.2.213.1	GO:0016746 GO:0016747 GO:0006633 GO:0016020 GO:0008610 GO:0004315				
e_gw1.2.455.1	GO:0008171 GO:0008168 GO:0008152	K12502	KOG1540		PTHR10108 PTHR10108:SF9
e_gw1.2.729.1	GO:0003735 GO:0006412 GO:0005622 GO:0005840				PTHR10744 PTHR10744:SF1
e_gw1.2.527.1	GO:0004672 GO:0005524 GO:0006468		KOG0671		PTHR24058 PTHR24058:SF21
e_gw1.2.471.1	GO:0016020 GO:0055085		KOG1581		PTHR10778 PTHR10778:SF10
e_gw1.2.626.1	GO:0003824 GO:0008152		KOG1535		PTHR11820 PTHR11820:SF57
e_gw1.2.636.1	GO:0000902 GO:0005524				PTHR19375 PTHR19375:SF1
e_gw1.2.225.1	GO:0022857 GO:0055085 GO:0016021		KOG0254		PTHR24063 PTHR24063:SF116
e_gw1.2.169.1	GO:0003676 GO:0005524 GO:0008026 GO:0004386	K13116	KOG0341	3.6.4.13	PTHR24031 PTHR24031:SF46
e_gw1.2.766.1	GO:0016614 GO:0050660 GO:0055114 GO:0009055 GO:0016491		KOG1238		PTHR10668 PTHR10668:SF14
e_gw1.2.387.1	GO:0003824	K12164	KOG2336		PTHR10953 PTHR10953:SF9
e_gw1.2.532.1	GO:0003676		KOG1457		PTHR12742
e_gw1.2.531.1	GO:0004672 GO:0005524 GO:0006468 GO:0003824	K06228	KOG0598	2.7.11.1	PTHR22983:SF6 PTHR22983
e_gw1.2.22.1	GO:0003676 GO:0005524 GO:0008026 GO:0017038 GO:0016020				
e_gw1.2.580.1	GO:0004640 GO:0006568	K01817	KOG4202	5.3.1.24	PTHR22854 PTHR22854:SF1
e_gw1.2.769.1	GO:0005524 GO:0004222 GO:0006508 GO:0008270 GO:0016021 GO:0016887	K08956	KOG0731	3.4.24.-	PTHR23076:SF11 PTHR23076
gw1.18.27.1	GO:0016614 GO:0050660 GO:0055114		KOG1238		PTHR10668 PTHR10668:SF14
e_gw1.2.280.1	GO:0055085 GO:0016021		KOG0255		PTHR24003:SF331 PTHR24003
e_gw1.2.667.1	GO:0003677				PTHR25040:SF29 PTHR25040
e_gw1.2.248.1	GO:0016491 GO:0050660 GO:0055114		KOG2495		PTHR22915 PTHR22915:SF15
e_gw1.2.124.1	GO:0016021		KOG1277		PTHR10766 PTHR10766:SF14
e_gw1.2.564.1	GO:0000287 GO:0004427 GO:0006796 GO:0005737		KOG1626		PTHR10286 PTHR10286:SF0
e_gw1.2.463.1	GO:0003676 GO:0008270		KOG1039		PTHR11224:SF10 PTHR11224
e_gw1.2.378.1	GO:0003723 GO:0004809 GO:0008033 GO:0016740	K07055	KOG2078		PTHR23245 PTHR23245:SF25
e_gw1.2.427.1	GO:0004672 GO:0005524 GO:0006468				PTHR26266 PTHR26266:SF61
e_gw1.2.2.1	GO:0003777 GO:0007018 GO:0030286		KOG3595		PTHR10676 PTHR10676:SF35
e_gw1.2.222.1	GO:0000166 GO:0005524 GO:0043039 GO:0005737 GO:0006412	K01885	KOG1149	6.1.1.17	PTHR10119:SF1 PTHR10119
e_gw1.2.325.1	GO:0019134 GO:0009252 GO:0009103 GO:0005737 GO:0003977 GO:0000902 GO:0000287				PTHR22572:SF17 PTHR22572
e_gw1.2.390.1	GO:0004853 GO:0006779		KOG2872		PTHR21091 PTHR21091:SF2
e_gw1.2.737.1	GO:0003735 GO:0006412 GO:0005840				
e_gw1.2.276.1	GO:0016829 GO:0006099	K01679	KOG1317	4.2.1.2	PTHR11444 PTHR11444:SF1
e_gw1.2.210.1	GO:0016746 GO:0009058 GO:0016747 GO:0006633 GO:0016020 GO:0008610				
e_gw1.2.584.1	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898	K02717			
e_gw1.2.629.1	GO:0017150 GO:0050660 GO:0008033 GO:0055114				PTHR11082 PTHR11082:SF8
e_gw1.2.310.1	GO:0004672 GO:0005524 GO:0006468	K07760	KOG0666	2.7.11.22	PTHR24056 PTHR24056:SF83
e_gw1.2.416.1	GO:0016020		KOG2922		PTHR12570
e_gw1.2.451.1	GO:0008308 GO:0006820 GO:0044070 GO:0055085 GO:0005741	K11518	KOG3296		PTHR10802
e_gw1.2.214.1	GO:0005515		KOG0295		PTHR22847 PTHR22847:SF145
