#proteinId	gotermId	goName	gotermType	goAcc
69023	2290	catalytic activity	molecular_function	GO:0003824
69023	5830	metabolic process	biological_process	GO:0008152
69023	3736	ATP binding	molecular_function	GO:0005524
69023	4171	fructose 2,6-bisphosphate metabolic process	biological_process	GO:0006003
69025	2863	malic enzyme activity	molecular_function	GO:0004470
69025	4273	malate metabolic process	biological_process	GO:0006108
69025	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
69025	24535	NAD binding	molecular_function	GO:0051287
69025	2865	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity	molecular_function	GO:0004473
69026	4931	sodium ion transport	biological_process	GO:0006814
69026	4993	regulation of pH	biological_process	GO:0006885
69026	8728	sodium:hydrogen antiporter activity	molecular_function	GO:0015385
69026	9321	integral to membrane	cellular_component	GO:0016021
69026	8649	solute:hydrogen antiporter activity	molecular_function	GO:0015299
69027	9985	hydrolase activity	molecular_function	GO:0016787
69027	6142	diphosphoinositol-polyphosphate diphosphatase activity	molecular_function	GO:0008486
69028	3574	voltage-gated potassium channel activity	molecular_function	GO:0005249
69028	4930	potassium ion transport	biological_process	GO:0006813
69028	5761	voltage-gated potassium channel complex	cellular_component	GO:0008076
69028	3547	ion channel activity	molecular_function	GO:0005216
69028	4928	ion transport	biological_process	GO:0006811
69028	9320	membrane	cellular_component	GO:0016020
69030	3114	ribonucleoside-diphosphate reductase activity	molecular_function	GO:0004748
69030	4139	ribonucleoside-diphosphate reductase complex	cellular_component	GO:0005971
69030	4421	DNA replication	biological_process	GO:0006260
69030	3727	protein binding	molecular_function	GO:0005515
69031	2917	exonuclease activity	molecular_function	GO:0004527
69031	3827	intracellular	cellular_component	GO:0005622
69031	2175	nucleic acid binding	molecular_function	GO:0003676
69031	2925	poly(A)-specific ribonuclease activity	molecular_function	GO:0004535
69034	2770	glutathione transferase activity	molecular_function	GO:0004364
69035	5830	metabolic process	biological_process	GO:0008152
69035	6579	phosphoglycolate phosphatase activity	molecular_function	GO:0008967
69035	888	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	molecular_function	GO:0001668
69035	5817	protein tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0008138
69035	5996	protein tyrosine/threonine phosphatase activity	molecular_function	GO:0008330
69035	6224	JUN kinase phosphatase activity	molecular_function	GO:0008579
69035	6581	phosphohistidine phosphatase activity	molecular_function	GO:0008969
69035	9583	inositol bisphosphate phosphatase activity	molecular_function	GO:0016312
69035	10185	MAP kinase tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0017017
69035	10316	inositol-1,3,4-trisphosphate 4-phosphatase activity	molecular_function	GO:0017161
69035	11454	alpha-ribazole-5prime-P phosphatase activity	molecular_function	GO:0019175
69035	11457	NADP phosphatase activity	molecular_function	GO:0019178
69035	11471	transmembrane receptor protein phosphatase activity	molecular_function	GO:0019198
69035	13238	inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity	molecular_function	GO:0030351
69035	13239	inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity	molecular_function	GO:0030352
69035	19191	5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity	molecular_function	GO:0043726
69035	19276	phosphatidylinositol-4-phosphate phosphatase activity	molecular_function	GO:0043812
69035	19277	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	molecular_function	GO:0043813
69040	4591	protein folding	biological_process	GO:0006457
69040	24336	unfolded protein binding	molecular_function	GO:0051082
69040	3736	ATP binding	molecular_function	GO:0005524
69042	2227	structural constituent of ribosome	molecular_function	GO:0003735
69042	3827	intracellular	cellular_component	GO:0005622
69042	4025	ribosome	cellular_component	GO:0005840
69042	4556	translation	biological_process	GO:0006412
69045	2290	catalytic activity	molecular_function	GO:0003824
69045	23919	FAD binding	molecular_function	GO:0050660
69045	9710	oxidoreductase activity	molecular_function	GO:0016491
69046	6099	inositol trisphosphate 3-kinase activity	molecular_function	GO:0008440
69047	13917	heat shock protein binding	molecular_function	GO:0031072
69048	4591	protein folding	biological_process	GO:0006457
69048	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
69048	2975	cyclophilin	molecular_function	GO:0004600
69048	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
69048	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
69049	4639	proteolysis	biological_process	GO:0006508
69049	5907	metalloexopeptidase activity	molecular_function	GO:0008235
69049	2669	methionyl aminopeptidase activity	molecular_function	GO:0004239
69053	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
69053	4283	electron transport	biological_process	GO:0006118
69053	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
69053	5830	metabolic process	biological_process	GO:0008152
69053	23919	FAD binding	molecular_function	GO:0050660
69057	4639	proteolysis	biological_process	GO:0006508
69057	5907	metalloexopeptidase activity	molecular_function	GO:0008235
69057	2669	methionyl aminopeptidase activity	molecular_function	GO:0004239
69059	2216	RNA binding	molecular_function	GO:0003723
69060	3006	phosphopantothenate--cysteine ligase activity	molecular_function	GO:0004632
69062	4743	SRP-dependent cotranslational protein targeting to membrane	biological_process	GO:0006614
69062	5980	7S RNA binding	molecular_function	GO:0008312
69062	22828	signal recognition particle	cellular_component	GO:0048500
69065	3574	voltage-gated potassium channel activity	molecular_function	GO:0005249
69065	4930	potassium ion transport	biological_process	GO:0006813
69065	5761	voltage-gated potassium channel complex	cellular_component	GO:0008076
69065	3547	ion channel activity	molecular_function	GO:0005216
69065	4928	ion transport	biological_process	GO:0006811
69065	9320	membrane	cellular_component	GO:0016020
69069	2175	nucleic acid binding	molecular_function	GO:0003676
69070	2227	structural constituent of ribosome	molecular_function	GO:0003735
69070	3827	intracellular	cellular_component	GO:0005622
69070	4025	ribosome	cellular_component	GO:0005840
69070	4556	translation	biological_process	GO:0006412
69074	3736	ATP binding	molecular_function	GO:0005524
69074	10082	ATPase activity	molecular_function	GO:0016887
69074	162	nucleotide binding	molecular_function	GO:0000166
69074	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
69074	4927	transport	biological_process	GO:0006810
69074	9321	integral to membrane	cellular_component	GO:0016021
69074	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
69074	6209	xenobiotic-transporting ATPase activity	molecular_function	GO:0008559
69076	9320	membrane	cellular_component	GO:0016020
