Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre01.g000150	Zinc/iron permease; related to plant homologs; ZIP family, subfamily I; appears as CrZIP2 in PMID: 15710683; PMID: 16766055	
Cre01.g000650	Possibly peroxisomal; contains PTS1 canonical sequence	
Cre01.g000850	Conserved expressed protein	
Cre01.g000900	Predicted protein of unknown function containing DUF1350 domain; Conserved expressed protein	
Cre01.g001400	Partial sequence similar to leishmanolysin-like peptidase (peptidase M8 family); neutral zinc metallopeptidases; zinc-binding site; EGF-like region	
Cre01.g001750	Involved in protein folding; contains a peptidyl-prolyl cis-trans isomerase (FKBP-type) domain and N- and C-terminal domains involved in ribosome-binding; probably located in chloroplast stroma	
Cre01.g002200	Putative DNA-directed RNA polymerase subunit, sequence similarity to yeast RNB6 (13-15 kDa)	
Cre01.g002300	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905]; identical to AF052206 CYP1 [PMID: 10527429]; cytosolic; similar to At4g38740 (ROC1, AtCYP18-3) and At2g21130 (AtCYP19-2); found in the flagellar proteome [P	
Cre01.g002500	Chlamyopsin 1 (COP1); opsin-related, retinal binding protein; reference: Fuhrmann, M. and Hegemann, P.; Genbank entry Z48968; there is an alternatively spliced version of chlamyopsin (often referred to COP2); present in thylakoid-enriched fraction based o	
Cre01.g003050	Hypothetical Conserved Protein. Similar to SEC8, a subunit of the Exocyst.	
Cre01.g003850	Cytochrome P450, CYP197 superfamily, CYP197B family.  Previously annotated as CYP747A1	
Cre01.g004250	Flagellar inner arm dynein light chain, Tctex1.  Previously annotated as TCTEX1	
Cre01.g004300	Asparagine synthase (glutamine-hydrolyzing).  Previously annotated as ASNS	
Cre01.g004450	Conserved expressed membrane protein of unknown function (DUF1517). This family consists of several hypothetical glycine rich plant and bacterial proteins of around 300 residues in length.	
Cre01.g004500	3-isopropylmalate dehydratase (EC 4.2.1.33), large subunit; isopropylmalate isomerase; similarity to rice IPMI (GenBank XP_463952); predicted as plastidic by Target-P and by homology	
Cre01.g004550	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre01.g004600	Putative RWP-RK domain transcription factor [PMID: 15785851]; model is very tentative	
Cre01.g005150	Putative aminotransferase (class V) with homology to serine glyoxylate aminotransferases from Arabidopsis (TrEMBL: 081248) and Frillaria agrestis (GenBank AAB95218); this is the shorter and less abundant splicing variant SGA1b, shorter by 11 AA at the pre	
Cre01.g005450	A subunit in the radial spoke head with multiple MORN motifs [PMID: 16507594; GI:83284715]; possible histone-lysine N-methyltransferase	
Cre01.g005550	Expressed Protein. ARF-like 4, a member of the ARF/Sar1 GTPase family conserved in essentially all eukaryotes (A. thaliana ortholog - Titan5). Involved in the dynamics of the tubulin cytoskeleton probably via regulation of the assembly of alpha/beta tubul	
Cre01.g005850	Cob(I)yrinic acid a,c-diamide adenosyltransferase; found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP23	
Cre01.g006050	LF3 is involved in controlling flagellar length. Null mutants (ulf1 and ulf3) have unequal length flagella; hypomorphic alleles have long flagella. gi:37778331	
