Gene ID	description
BathyCg00281	DNA-directed RNA polymerase subunit beta
BathyCg00010	DNA-directed RNA polymerase subunit beta
BathyCg00282	DNA-directed RNA polymerase subunit beta
BathyCg00314	n/a
BathyCg00040	small ribosomal protein 4
BathyCg00283	photosystem II PsbN protein
BathyCg00050	photosystem II protein H
BathyCg00287	Photosystem I reaction center subunit VIII
BathyCg00288	Photosystem II reaction center protein ycf12
BathyCg00284	Photosystem I reaction center subunit XII
BathyCg00313	n/a
BathyCg00060	50S ribosomal protein L20
BathyCg00070	Ribosomal protein S18
BathyCg00285	Ribosomal protein S12
BathyCg00289	small subunit ribosomal protein S7
BathyCg00080	elongation factor Tu
BathyCg00085	photosystem I subunit VII
BathyCg00110	ATPase beta subunit
BathyCg00120	ATP synthase CF1 epsilon subunit
BathyCg00290	Photosystem II reaction center protein K
BathyCg00125	Photosystem II reaction center protein I
BathyCg00286	Photosystem I reaction center subunit IX
BathyCg00130	DNA-directed RNA polymerase subunit alpha
BathyCg00291	30S ribosomal protein S11
BathyCg00292	Translation initiation factor IF-1, chloroplastic
BathyCg00293	predicte protein
BathyCg00140	ATP synthase subunit a, chloroplastic
BathyCg00150	30S ribosomal protein S9
BathyCg00301	DNA-directed RNA polymerase subunit alpha
BathyCg00294	30S ribosomal protein S11, chloroplastic
BathyCg00295	Translation initiation factor IF-1, chloroplastic
BathyCg00303	30S ribosomal protein S8, chloroplastic
BathyCg00296	50S ribosomal protein L5, chloroplastic
BathyCg00297	50S ribosomal protein L14, chloroplastic
BathyCg00304	large subunit ribosomal protein 16
BathyCg00298	30S ribosomal protein S3, chloroplastic
BathyCg00190	ribosomal protein S19
BathyCg00200	50S ribosomal protein L2
BathyCg00299	50S ribosomal protein L23, chloroplastic
BathyCg00305	Photosystem II reaction center protein Z
BathyCg00315	n/a
BathyCg00306	predicted protein
BathyCg00307	photosystem II CP43 protein
BathyCg00308	Photosystem II D2 protein
BathyCg00240	photosystem II CP47 protein
BathyCg00250	Cytochrome b6
BathyCg00309	Photosystem II reaction center protein J
BathyCg00310	Photosystem II reaction center protein L
BathyCg00311	Cytochrome b559 subunit beta
BathyCg00260	Cytochrome b559 subunit alpha
BathyCg00270	Uncharacterized protein
BathyCg00312	Ribosomal protein S2
BathyMg00251	ribosomal protein S12
BathyMg00252	ribosomal protein S7
BathyMg00020	NADH dehydrogenase subunit 1
BathyMg00030	ATP synthase F0 subunit 6
BathyMg00253	NADH dehydrogenase subunit 6
BathyMg00040	cytochrome c oxidase subunit 2
BathyMg00050	cytochrome c oxidase subunit 3
BathyMg00060	NADH dehydrogenase subunit 2
BathyMg00070	NADH dehydrogenase subunit 4
BathyMg00080	NADH dehydrogenase subunit 5
BathyMg00090	30S ribosomal protein S2
BathyMg00100	apocytochrome b
BathyMg00110	cytochrome c oxidase subunit 1
BathyMg00263	hypothetical protein
BathyMg00120	ATPase subunit 4
BathyMg00130	ATP synthase F0 subunit 8
