transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
47908	47908	KOG0203	Na+/K+ ATPase, alpha subunit	Inorganic ion transport and metabolism 	METABOLISM
45221	45221	KOG4629	Predicted mechanosensitive ion channel	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
47905	47905	KOG3070	Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
48560	48560	KOG4210	Nuclear localization sequence binding protein	Transcription 	INFORMATION STORAGE AND PROCESSING
47903	47903	KOG1032	Uncharacterized conserved protein, contains GRAM domain	Function unknown 	POORLY CHARACTERIZED
32118	32118	KOG1106	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42675	42675	KOG0946	ER-Golgi vesicle-tethering protein p115	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
45218	45218	KOG4293	Predicted membrane protein, contains DoH and Cytochrome b-561/ferric reductase transmembrane domains	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
48558	48558	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
12586	12586	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
48553	48553	KOG0391	SNF2 family DNA-dependent ATPase	General function prediction only 	POORLY CHARACTERIZED
18469	18469	KOG0254	Predicted transporter (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
15121	15121	KOG0458	Elongation factor 1 alpha	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
35448	35448	KOG4455	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
45207	45207	KOG2030	Predicted RNA-binding protein	General function prediction only 	POORLY CHARACTERIZED
45206	45206	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
48547	48547	KOG2522	Filamentous baseplate protein Ligatin, contains PUA domain	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
45204	45204	KOG4568	Cytoskeleton-associated protein and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
45204	45204	KOG4568	Cytoskeleton-associated protein and related proteins	General function prediction only 	POORLY CHARACTERIZED
45202	45202	KOG2633	Hismacro and SEC14 domain-containing proteins	Transcription 	INFORMATION STORAGE AND PROCESSING
45202	45202	KOG2633	Hismacro and SEC14 domain-containing proteins	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
48543	48543	KOG1808	AAA ATPase containing von Willebrand factor type A (vWA) domain	General function prediction only 	POORLY CHARACTERIZED
12572	12572	KOG0858	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
42659	42659	KOG1203	Predicted dehydrogenase	Carbohydrate transport and metabolism 	METABOLISM
42658	42658	KOG0161	Myosin class II heavy chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
45997	45997	KOG2323	Pyruvate kinase	Carbohydrate transport and metabolism 	METABOLISM
36093	36093	KOG2761	START domain-containing proteins involved in steroidogenesis/phosphatidylcholine transfer	Lipid transport and metabolism 	METABOLISM
42650	42650	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
45993	45993	KOG3034	Isoamyl acetate-hydrolyzing esterase and related enzymes	General function prediction only 	POORLY CHARACTERIZED
9912	9912	KOG1635	Peptide methionine sulfoxide reductase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
48538	48538	KOG1161	Protein involved in vacuolar polyphosphate accumulation, contains SPX domain	Inorganic ion transport and metabolism 	METABOLISM
48535	48535	KOG0519	Sensory transduction histidine kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
48534	48534	KOG2021	Nuclear mRNA export factor receptor LOS1/Exportin-t (importin beta superfamily)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
48534	48534	KOG2021	Nuclear mRNA export factor receptor LOS1/Exportin-t (importin beta superfamily)	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
48534	48534	KOG2021	Nuclear mRNA export factor receptor LOS1/Exportin-t (importin beta superfamily)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
11901	11901	KOG3232	Vacuolar assembly/sorting protein DID2	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
32883	32883	KOG1815	Predicted E3 ubiquitin ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
42649	42649	KOG4041	Protein phosphatase 1, regulatory (inhibitor) subunit PPP1R2	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
42649	42649	KOG4041	Protein phosphatase 1, regulatory (inhibitor) subunit PPP1R2	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
45989	45989	KOG0495	HAT repeat protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
42644	42644	KOG4643	Uncharacterized coiled-coil protein	Function unknown 	POORLY CHARACTERIZED
45987	45987	KOG4415	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42643	42643	KOG2030	Predicted RNA-binding protein	General function prediction only 	POORLY CHARACTERIZED
45986	45986	KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
42642	42642	KOG2248	3'-5' exonuclease	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
36081	36081	KOG2726	Mitochondrial polypeptide chain release factor	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
45980	45980	KOG2977	Glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
49187	49187	KOG0516	Dystonin, GAS (Growth-arrest-specific protein), and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
49185	49185	KOG3312	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
48529	48529	KOG2220	Predicted signal transduction protein	General function prediction only 	POORLY CHARACTERIZED
9903	9903	KOG4508	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
