Gene ID	GO	KO	PFAM
ME1082489C05696	GO:0030246		PF00139
ME000657S08866	GO:0016435 GO:0070476 GO:0008168	K19306	PF12589 PF08241 PF13649
ME000657S08869	GO:0055114		PF13911
ME000657S08873	GO:0005515		PF13637 PF12796 PF13606 PF13857 PF00023
ME000657S08877	GO:0034450 GO:0006511 GO:0016567 GO:0000151 GO:0003777 GO:0005524 GO:0008017 GO:0007018 GO:0004842	K10597	PF10408 PF00225 PF04564
ME001272S00367	GO:0003676 GO:0004386 GO:0005524 GO:0016818 GO:0006139 GO:0003677 GO:0003678	K11136	PF13307 PF06733
ME001272S00370	GO:0004518 GO:0006281		PF00752
ME000350S05937	GO:0030976 GO:0003824 GO:0000287	K01652	PF02776 PF02775 PF00205
ME000535S08194	GO:0016020		PF02325
ME000535S08195	GO:0003951 GO:0006741	K00858	PF01513
ME000535S08196	GO:0015979 GO:0009507 GO:0009523	K02721	PF07123
ME000535S08197	GO:0003824		PF00614 PF12357
ME000535S08202	GO:0003682	K02603	PF01426 PF00628
ME000535S08208	GO:0006397	K13171	PF01480
ME1046195C03914	GO:0005515		PF04739
ME001024S10719	GO:0004640 GO:0006568	K01817	PF00697
ME001024S10720	GO:0003824	K18482	PF01063
ME001024S10722	GO:0004553 GO:0005975		PF00933
ME001024S10723	GO:0004553 GO:0005975		PF00933
ME001024S10724	GO:0005515		PF00514
ME001024S10726	GO:0006396	K12869	PF02184
ME000199S02701	GO:0003824 GO:0050662 GO:0003854 GO:0016616 GO:0006694 GO:0055114	K12450	PF16363 PF01370 PF04321 PF01073 PF02719 PF07993
ME000199S02704	GO:0050661 GO:0051287	K00020	PF03446 PF14833 PF03807 PF01488
ME000199S02705	GO:0003735 GO:0006412 GO:0005840	K02910	PF01198
ME000199S02706	GO:0003735 GO:0006412 GO:0005840	K02889	PF01157
ME000199S02710	GO:0003723		PF00013 PF07650
ME000199S02711	GO:0046872 GO:0030001		PF00122 PF00702 PF00403
ME000199S02720	GO:0000166 GO:0004820 GO:0005524 GO:0006426 GO:0005737	K14164	PF02092 PF02091
ME000199S02721	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000075S09614	GO:0000166 GO:0004812 GO:0005524 GO:0006418 GO:0003676	K01893	PF00152 PF01336
ME000075S09618	GO:0016779 GO:0009058	K00966	PF00483
ME000075S09619	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000075S09622	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000075S09623	GO:0008251 GO:0002100		PF00383 PF14437
ME000075S09624	GO:0003723	K01148	PF01985
ME000075S09626	GO:0004222 GO:0006508	K06013	PF16491 PF01435
ME000075S09629	GO:0006351	K03016	PF03870
ME000075S09630	GO:0005524 GO:0016887		PF00005
ME000075S09632	GO:0055114	K07512	PF00107 PF13602 PF08240
ME000075S09633	GO:0003864 GO:0015940	K00606	PF02548
ME000075S09636	GO:0051287 GO:0050661	K18121	PF14833 PF03446
ME000075S09637	GO:0003676 GO:0008270	K09250	PF00098 PF13917 PF14392
