"Gene" "Common ID or description"
"1" "ostta01g00010" "unnamed product                 "
"2" "ostta01g00020" "6-phosphofructo-2-kinase                  "
"3" "ostta01g00030" "unnamed product                 "
"4" "ostta01g00040" "Malic enzyme, NAD-binding                "
"5" "ostta01g00050" "Cation/H+ exchanger                 "
"6" "ostta01g00060" "NUDIX hydrolase domain-like                "
"7" "ostta01g00070" "Voltage-dependent potassium channel                "
"8" "ostta01g00080" "unnamed product                 "
"9" "ostta01g00090" "Ribonucleotide reductase R1 subunit, N-terminal              "
"10" "ostta01g00100" "Exonuclease, RNase T/DNA polymerase III              "
"11" "ostta01g00110" "unnamed product                 "
"12" "ostta01g00120" "Protein of unknown function DUF4336              "
"13" "ostta01g00130" "Thioredoxin-like fold                 "
"14" "ostta01g00140" "HAD hydrolase, subfamily IA               "
"15" "ostta01g00150" "Phytanoyl-CoA dioxygenase                 "
"16" "ostta01g00160" "Dymeclin                  "
"17" "ostta01g00170" "unnamed product                 "
"18" "ostta01g00180" "unnamed product                 "
"19" "ostta01g00190" "Histidine kinase-like ATPase, ATP-binding domain              "
"20" "ostta01g00200" "UBA-like                  "
"21" "ostta01g00210" "Ribosomal protein L36                "
"22" "ostta01g00220" "unnamed product                 "
"23" "ostta01g00230" "unnamed product                 "
"24" "ostta01g00240" "FAD linked oxidase, N-terminal               "
"25" "ostta01g00250" "Inositol polyphosphate kinase                "
"26" "ostta01g00260" "Tetratricopeptide repeat                 "
"27" "ostta01g00270" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain              "
"28" "ostta01g00280" "Peptidase M24, methionine aminopeptidase               "
"29" "ostta01g00290" "unnamed product                 "
"30" "ostta01g00300" "unnamed product                 "
"31" "ostta01g00310" "Putative S-adenosyl-L-methionine-dependent methyltransferase MidA               "
"32" "ostta01g00320" "Acyl-CoA dehydrogenase/oxidase, N-terminal                "
"33" "ostta01g00330" "unnamed product                 "
"34" "ostta01g00340" "unnamed product                 "
"35" "ostta01g00350" "unnamed product                 "
"36" "ostta01g00360" "Peptidase M24, methionine aminopeptidase               "
"37" "ostta01g00370" "Mitochondrial pyruvate carrier                "
"38" "ostta01g00380" "Transcription factor IIIC, 90kDa subunit, N-terminal             "
"39" "ostta01g00390" "DNA/pantothenate metabolism flavoprotein, C-terminal               "
"40" "ostta01g00400" "26S proteasome regulatory subunit, C-terminal              "
"41" "ostta01g00410" "Signal recognition particle, SRP19 subunit              "
"42" "ostta01g00420" "Mitochondrial substrate/solute carrier                "
"43" "ostta01g00430" "unnamed product                 "
"44" "ostta01g00440" "Voltage-dependent potassium channel                "
"45" "ostta01g00450" "unnamed product                 "
