Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
Cre01.g000150	GO:0055085 GO:0046873 GO:0030001 GO:0016020	K14709			PTHR11040 PTHR11040:SF44	PF02535
Cre01.g000250	GO:0016021				PTHR12677 PTHR12677:SF5	PF09335
Cre01.g000350	GO:0055114 GO:0016491			1.14.13.12	PTHR19370 PTHR19370:SF123	PF00175
Cre01.g000600	GO:0005515	K14855			PTHR19848 PTHR19848:SF0	PF08154 PF00400
Cre01.g000650	GO:0055114 GO:0048038 GO:0009308 GO:0008131 GO:0005507	K00276	KOG1186	1.4.3.21	PTHR10638 PTHR10638:SF18	PF02728 PF02727 PF01179
Cre01.g000700	GO:0008270 GO:0005515		KOG1493		PTHR14155 PTHR14155:SF170	PF13639
Cre01.g000950	GO:0055085 GO:0016021		KOG1330		PTHR23505 PTHR23505:SF21	PF07690
Cre01.g001200	GO:0006468 GO:0004672			2.7.11.1	PTHR23257	PF07714
Cre01.g001350	GO:0016021 GO:0006810 GO:0005215 GO:0016887 GO:0005524 GO:0055085 GO:0042626		KOG0060	3.6.3.47	PTHR11384 PTHR11384:SF3	PF05992 PF00005 PF06472
Cre01.g001400	GO:0016020 GO:0007155 GO:0006508 GO:0004222	K13539		3.4.24.36	PTHR10942 PTHR10942:SF0	PF01457
Cre01.g001550	GO:0006413 GO:0003743	K02520			PTHR10938	PF05198 PF00707
Cre01.g001600	GO:0005515				PTHR26379	PF00651
Cre01.g001678	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257 PTHR23257:SF474	PF07714
Cre01.g001700	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257	PF07714
Cre01.g001750	GO:0015031 GO:0006457			5.2.1.8	PTHR30560 PTHR30560:SF3	PF05698 PF05697
Cre01.g001800	GO:0006468 GO:0005524 GO:0004672	K08857	KOG0583	2.7.11.1	PTHR24361 PTHR24361:SF411	PF00069
Cre01.g002050	GO:0003993	K01078	KOG3720	3.1.3.2	PTHR11567	PF00328
Cre01.g002200	GO:0006351 GO:0003899 GO:0003677	K03014	KOG3405	2.7.7.6	PTHR10773	PF01192
Cre01.g002250	GO:0008080				PTHR23091 PTHR23091:SF206	PF00583
Cre01.g002300	GO:0006457 GO:0003755 GO:0000413	K01802	KOG0865	5.2.1.8	PTHR11071	PF00160
Cre01.g002350	GO:0008641	K04532			PTHR10953	PF00899
Cre01.g002400	GO:0006629			3.1.1.3	PTHR21493 PTHR21493:SF119	PF01764
Cre01.g002451	GO:0005515				PTHR10774	PF00168
Cre01.g002550	GO:0006468 GO:0005524 GO:0004672	K07376	KOG0598 KOG0616 KOG0198	2.7.11.12	PTHR24361	PF00069
