Gene ID	GO	KO	KOG	PANTHER	PFAM
Cz01g00020	GO:0006426 GO:0005737 GO:0005524 GO:0004820 GO:0000166	K14164		PTHR30075 PTHR30075:SF3	PF02091 PF02092
Cz01g00030	GO:0006413 GO:0005737 GO:0003743 GO:0003723	K03259	KOG1670	PTHR11960	PF01652
Cz01g00040	GO:0035556 GO:0016849 GO:0009190			PTHR11017 PTHR11017:SF145	PF00211
Cz01g00050	GO:0035556 GO:0016849 GO:0009190			PTHR11017 PTHR11017:SF145	PF00211
Cz01g00060	GO:0016780 GO:0016020 GO:0008654			PTHR15362 PTHR15362:SF4	PF01066
Cz01g00080	GO:0016787	K04382	KOG0371	PTHR11668 PTHR11668:SF248	PF00149
Cz01g00100	GO:0003824 GO:0006470 GO:0004722	K14497	KOG0700	PTHR13832 PTHR13832:SF303	PF00481
Cz01g00110	GO:0016020 GO:0006886 GO:0005801		KOG2604	PTHR13302	PF04136
Cz01g00140	GO:0003824 GO:0006470 GO:0004722			PTHR13832 PTHR13832:SF332	PF00481
Cz01g00150	GO:0016788 GO:0006397			PTHR12849	PF05011
Cz01g00160	GO:0016788 GO:0006397			PTHR12849	PF05011
Cz01g00170	GO:0003677				PF01388
Cz01g00200	GO:0016779 GO:0009058	K03241		PTHR22572 PTHR22572:SF93	PF00483
Cz01g00220	GO:0005515 GO:0006508 GO:0004252			PTHR22939 PTHR22939:SF95	PF13180 PF00089
Cz01g00230	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01866	KOG2144	PTHR11946 PTHR11946:SF53	PF00579
Cz01g00270	GO:0008242 GO:0006541 GO:0003824			PTHR11315	
Cz01g00280	GO:0008242 GO:0006541 GO:0003824			PTHR11315	
Cz01g01020	GO:0055114 GO:0051287 GO:0006730 GO:0004013	K01251		PTHR23420	PF02826 PF05221
Cz01g01080	GO:0003676		KOG0128	PTHR24012	PF05391 PF00076
Cz01g01140	GO:0005524		KOG1001	PTHR10799 PTHR10799:SF721	PF13920 PF00271 PF00176
Cz01g01210	GO:0005524 GO:0003676	K13025		PTHR24031 PTHR24031:SF57	PF00271 PF00270
Cz01g01220	GO:0000049 GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01874		PTHR11946 PTHR11946:SF86	PF01588 PF09334
Cz01g01240	GO:0006468 GO:0004672 GO:0005524		KOG0610	PTHR24351 PTHR24351:SF76	PF07714 PF13426 PF00069
Cz01g02050	GO:0050662 GO:0003824		KOG4288	PTHR12126	PF01370
Cz01g02070	GO:0030170 GO:0009058	K14272		PTHR11751 PTHR11751:SF373	PF00155
Cz01g02140	GO:0015074			PTHR24559 PTHR24559:SF201	PF00385 PF00665
Cz01g02190	GO:0008289		KOG2761	PTHR19308	PF01852
Cz01g02230	GO:0005975 GO:0004553	K05546		PTHR22762 PTHR22762:SF54	PF13802 PF01055
Cz01g02260	GO:0009446 GO:0004668	K10536		PTHR31377 PTHR31377:SF2	PF04371
Cz01g03030	GO:0005515	K10446 K10442		PTHR24412	PF07707 PF01344
Cz01g03170	GO:0008168 GO:0006479	K11438		PTHR11006 PTHR11006:SF60	PF06325
Cz01g03190	GO:0008299	K00787	KOG0711	PTHR11525	PF00348
Cz01g03220	GO:0006950				PF00582
Cz01g03250	GO:0008080	K14521		PTHR10925 PTHR10925:SF5	PF13718 PF08351 PF05127
Cz01g03260	GO:0008080	K14521		PTHR10925 PTHR10925:SF5	PF13725 PF13718
Cz01g03280	GO:0016887 GO:0005524			PTHR10803 PTHR10803:SF3	PF02374
Cz01g03290	GO:0016887 GO:0005524	K01551		PTHR10803 PTHR10803:SF3	PF02374
Cz01g04040	GO:0019898 GO:0015979 GO:0009654 GO:0009523 GO:0005509			PTHR31407	PF01789
Cz01g04070	GO:0007023		KOG2512	PTHR15139 PTHR15139:SF0	PF16752 PF07986
Cz01g04170	GO:0006468 GO:0005524 GO:0004672		KOG0198	PTHR24349 PTHR24349:SF79	PF00069
Cz01g04190	GO:0005515	K14830		PTHR22840 PTHR22840:SF10	PF00400
Cz01g04200	GO:0008295 GO:0006597 GO:0004014	K01611		PTHR11570	PF01536
Cz01g04210	GO:0008295 GO:0006597 GO:0004014	K01611		PTHR11570	PF01536
Cz01g04220	GO:0055085 GO:0016020 GO:0006814 GO:0005215			PTHR10283 PTHR10283:SF67	PF00939
Cz01g04250	GO:0042578 GO:0042132 GO:0005975	K03841	KOG1458	PTHR11556 PTHR11556:SF12	PF00316
Cz01g04260	GO:0016491 GO:0008152	K11147	KOG0725	PTHR24322 PTHR24322:SF329	PF00106
Cz01g05020	GO:0005524 GO:0003676			PTHR24031 PTHR24031:SF0	PF00270
Cz01g05030	GO:0005524 GO:0003676			PTHR24031 PTHR24031:SF0	PF00270 PF00271
Cz01g05040	GO:0006468 GO:0004672		KOG0198	PTHR23257 PTHR23257:SF394	PF07714
Cz01g05080	GO:0005515				PF01590
Cz01g05090	GO:0006468 GO:0004672		KOG2345	PTHR23257 PTHR23257:SF394	PF07714
Cz01g05100	GO:0005515			PTHR24365	PF13855
Cz01g05160	GO:0006094 GO:0005524 GO:0004612	K01610		PTHR30031 PTHR30031:SF0	PF01293
Cz01g05190	GO:0008270	K18932	KOG1313	PTHR22883	PF01529
Cz01g05275	GO:0015979 GO:0009522	K02696		PTHR35775 PTHR35775:SF2	PF00796
Cz01g05320	GO:0005515		KOG3207	PTHR15140	PF14560 PF01302
Cz01g06050	GO:0016310 GO:0016301 GO:0005524	K08244		PTHR22931 PTHR22931:SF1	PF01326
Cz01g06100	GO:0005515				PF00560
Cz01g06150	GO:0005975 GO:0004553	K17525	KOG2091	PTHR11177	PF00704
Cz01g06170	GO:0006629			PTHR21493 PTHR21493:SF153	PF01764
Cz01g06210	GO:0008270				PF04434
Cz01g06260	GO:0005524	K13339	KOG0733	PTHR23077 PTHR23077:SF9	PF00004
Cz01g07010	GO:0008168 GO:0008152			PTHR10108 PTHR10108:SF706	PF08241
Cz01g07020	GO:0015969			PTHR21262 PTHR21262:SF12	PF13499 PF13328 PF04607
Cz01g07030	GO:0005515				PF12937
Cz01g07040	GO:0019752 GO:0004451		KOG1260	PTHR21631 PTHR21631:SF4	PF00463
Cz01g07060	GO:0003824 GO:0006470 GO:0004722		KOG0698	PTHR13832	PF00481
Cz01g07080	GO:0008152 GO:0003824	K00666	KOG1176	PTHR24096 PTHR24096:SF53	PF13193 PF00501
Cz01g07110	GO:0055085 GO:0016021		KOG2533	PTHR11662	PF07690
Cz01g07160	GO:0055085 GO:0016021		KOG0254	PTHR23500 PTHR23500:SF118	PF07690
Cz01g07180	GO:0005634	K06627	KOG0653 KOG0654	PTHR10177 PTHR10177:SF203	PF02984 PF00134
Cz01g07210	GO:0005515				PF00628
Cz01g07230	GO:0016787 GO:0005524 GO:0003677	K10896		PTHR14025 PTHR14025:SF20	PF04851
Cz01g08020	GO:0005515			PTHR12948 PTHR12948:SF3	PF00240
Cz01g08030	GO:0006282			PTHR33602 PTHR33602:SF1	PF02631
Cz01g08040	GO:0005524	K03798		PTHR23076 PTHR23076:SF61	PF00004
Cz01g08050	GO:0008173 GO:0008171 GO:0001510	K06236		PTHR21404	
Cz01g08080	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871		KOG0239	PTHR24115	PF00225
Cz01g08140	GO:0009432 GO:0006281 GO:0005524 GO:0003697			PTHR22942 PTHR22942:SF1	PF00154
Cz01g08150	GO:0009432 GO:0006281 GO:0005524 GO:0003697			PTHR22942 PTHR22942:SF1	PF08423
