Gene ID	GO	KO
kfl00001_0070	GO:0003723 GO:0003676 GO:0008270	
kfl00001_0090	GO:0005515	
kfl00001_0110	GO:0055114 GO:0051537 GO:0016491	
kfl00001_0120	GO:0006508 GO:0004197 GO:0008234	K01373
kfl00001_0130	GO:0006810 GO:0016021 GO:0005337	K15014
kfl00001_0140	GO:0006810 GO:0016021 GO:0005337	K15014
kfl00001_0150	GO:0019310 GO:0055114 GO:0005737 GO:0050113 GO:0005506	K00469
kfl00001_0160	GO:0005515	
kfl00001_0170	GO:0055114 GO:0016491 GO:0046914	
kfl00001_0190	GO:0005515	
kfl00001_0210	GO:0006811 GO:0055085 GO:0016020 GO:0005509 GO:0005216	
kfl00001_0240	GO:0005525	
kfl00001_0250	GO:0006259 GO:0006265 GO:0005694 GO:0005524 GO:0003677 GO:0003918 GO:0003824	K10878
kfl00001_0260	GO:0008152 GO:0003824	
kfl00001_0270	GO:0006904 GO:0016192	
kfl00001_0300	GO:0055085 GO:0006810 GO:0016021 GO:0005524 GO:0016887 GO:0042626 GO:0017111 GO:0000166	
kfl00001_0330	GO:0055085 GO:0016021	
kfl00001_0340	GO:0016020	K07052
kfl00001_0350	GO:0007165 GO:0004114 GO:0008081	K13293
kfl00001_0370	GO:0008152 GO:0003824	
kfl00001_0380	GO:0009103	
kfl00001_0410	GO:0005515	
kfl00001_0420	GO:0016021	
kfl00001_0440	GO:0008152 GO:0055114 GO:0051287 GO:0048037 GO:0000166 GO:0016616	K15919
kfl00001_0450	GO:0005515	K12602
kfl00001_0470	GO:0042218 GO:0009058 GO:0016847 GO:0003824 GO:0030170 GO:0016769	K00814
kfl00001_0480	GO:0003676 GO:0005515	
kfl00001_0500	GO:0005975 GO:0030259 GO:0008152 GO:0016758	K05841
kfl00001_0510	GO:0005515	
kfl00001_0520	GO:0000166	
kfl00001_0550	GO:0016020 GO:0003824	K07252
kfl00001_0580	GO:0005515	
kfl00001_0590	GO:0003824	
kfl00001_0610	GO:0006508 GO:0005515 GO:0008236	K03797
kfl00001_0620	GO:0006412 GO:0005622 GO:0005840 GO:0003723 GO:0003676 GO:0003735	K02964
kfl00001_0640	GO:0007031 GO:0006625 GO:0005778 GO:0005777 GO:0005524 GO:0042623 GO:0017111 GO:0000166	K13338
