ostta01g00010	unnamed	product																																																												
ostta01g00020	6-phosphofructo-2-kinase																																																													
ostta01g00030	unnamed	product																																																												
ostta01g00040	Malic	enzyme,	NAD-binding																																																											
ostta01g00050	Cation/H+	exchanger																																																												
ostta01g00060	NUDIX	hydrolase	domain-like																																																											
ostta01g00070	Voltage-dependent	potassium	channel																																																											
ostta01g00080	unnamed	product																																																												
ostta01g00090	Ribonucleotide	reductase	R1	subunit,	N-terminal																																																									
ostta01g00100	Exonuclease,	RNase	T/DNA	polymerase	III																																																									
ostta01g00110	unnamed	product																																																												
ostta01g00120	Protein	of	unknown	function	DUF4336																																																									
ostta01g00130	Thioredoxin-like	fold																																																												
ostta01g00140	HAD	hydrolase,	subfamily	IA																																																										
ostta01g00150	Phytanoyl-CoA	dioxygenase																																																												
ostta01g00160	Dymeclin																																																													
ostta01g00170	unnamed	product																																																												
ostta01g00180	unnamed	product																																																												
ostta01g00190	Histidine	kinase-like	ATPase,	ATP-binding	domain																																																									
ostta01g00200	UBA-like																																																													
ostta01g00210	Ribosomal	protein	L36																																																											
ostta01g00220	unnamed	product																																																												
ostta01g00230	unnamed	product																																																												
ostta01g00240	FAD	linked	oxidase,	N-terminal																																																										
ostta01g00250	Inositol	polyphosphate	kinase																																																											
ostta01g00260	Tetratricopeptide	repeat																																																												
ostta01g00270	Peptidyl-prolyl	cis-trans	isomerase,	FKBP-type,	domain																																																									
ostta01g00280	Peptidase	M24,	methionine	aminopeptidase																																																										
ostta01g00290	unnamed	product																																																												
ostta01g00300	unnamed	product																																																												
ostta01g00310	Putative	S-adenosyl-L-methionine-dependent	methyltransferase	MidA																																																										
ostta01g00320	Acyl-CoA	dehydrogenase/oxidase,	N-terminal																																																											
ostta01g00330	unnamed	product																																																												
ostta01g00340	unnamed	product																																																												
ostta01g00350	unnamed	product																																																												
ostta01g00360	Peptidase	M24,	methionine	aminopeptidase																																																										
ostta01g00370	Mitochondrial	pyruvate	carrier																																																											
ostta01g00380	Transcription	factor	IIIC,	90kDa	subunit,	N-terminal																																																								
ostta01g00390	DNA/pantothenate	metabolism	flavoprotein,	C-terminal																																																										
ostta01g00400	26S	proteasome	regulatory	subunit,	C-terminal																																																									
ostta01g00410	Signal	recognition	particle,	SRP19	subunit																																																									
ostta01g00420	Mitochondrial	substrate/solute	carrier																																																											
ostta01g00430	unnamed	product																																																												
ostta01g00440	Voltage-dependent	potassium	channel																																																											
ostta01g00450	unnamed	product																																																												
ostta01g00460	WD40/YVTN	repeat-like-containing	domain																																																											
ostta01g00470	Nicotinamide	N-methyltransferase-like																																																												
ostta01g00480	Translation	elongation/initiation	factor/Ribosomal,	beta-barrel																																																										
ostta01g00485	Translation	elongation/initiation	factor/Ribosomal,	beta-barrel																																																										
ostta01g00490	Cyanobacterial	aminoacyl-tRNA	synthetase,	CAAD	domain																																																									
ostta01g00500	unnamed	product																																																												
ostta01g00510	unnamed	product																																																												
ostta01g00520	ABC	transporter,	conserved	site																																																										
ostta01g00530	Protein	of	unknown	function	DUF1764,	eukaryotic																																																								
ostta01g00540	Drug/metabolite	transporter																																																												
ostta01g00550	Rhodanese-like	domain																																																												
ostta01g00560	Dynein	light	chain,	type	01/02/22																																																									
ostta01g00570	Anticodon-binding																																																													
ostta01g00580	Multi	antimicrobial	extrusion	protein																																																										
ostta01g00590	Aldo/keto	reductase,	conserved	site																																																										
ostta01g00600	unnamed	product																																																												
ostta01g00610	Lipase,	GDSL																																																												
ostta01g00620	Polyphosphate	kinase																																																												
ostta01g00630	ATPase,	AFG1-like																																																												
