#proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
69025	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
69025	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC
69030	1.17.4.1	Ribonucleoside-diphosphate reductase.	2prime-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin.	Iron; ATP.	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
69030	1.17.4.1	Ribonucleoside-diphosphate reductase.	2prime-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin.	Iron; ATP.	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
69031	3.1.13.4	Poly(A)-specific ribonuclease.	Exonucleolytic cleavage of poly(A) to 5prime-AMP.	\N	\N	\N	\N	\N
69034	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.	\N	\N	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Thiamine metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
69035	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69048	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).	\N	\N	\N	\N	\N
69049	3.4.11.18	Methionyl aminopeptidase.	Release of N-terminal amino acids, preferentially methionine, from peptides and arylamides.	Cobalt.	\N	\N	\N	\N
69057	3.4.11.18	Methionyl aminopeptidase.	Release of N-terminal amino acids, preferentially methionine, from peptides and arylamides.	Cobalt.	\N	\N	\N	\N
69060	6.3.2.5	Phosphopantothenate--cysteine ligase.	CTP + (R)-4prime-phosphopantothenate + L-cysteine = unidentified products of CTP breakdown + (R)-4prime-phosphopantothenoyl-L-cysteine.	\N	\N	Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
69074	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).	\N	\N	\N	\N	\N
69081	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
69081	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
69081	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
69081	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
69081	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
69084	2.7.4.1	Polyphosphate kinase.	ATP + {phosphate}(N) = ADP + {phosphate}(N+1).	\N	\N	Oxidative phosphorylation	Energy Metabolism	METABOLIC
69087	3.4.24.-	Metalloendopeptidases.	\N	\N	\N	\N	\N	\N
69092	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
69098	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC
69098	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC
69099	1.14.19.-	With oxidation of a pair of donors resulting in the reduction	\N	\N	\N	\N	\N	\N
69100	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
69100	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Ethylbenzene degradation	Biodegradation of Xenobiotics	METABOLIC
69106	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds.	\N	\N	\N	\N	\N	\N
69109	3.6.3.9	Sodium/potassium-echanging ATPase.	ATP + H(2)O + Na(+)(In) + K(+)(Out) = ADP + phosphate + Na(+)(Out) + K(+)(In).	Magnesium.	\N	\N	\N	\N
69112	2.3.1.133	Shikimate O-hydroxycinnamoyltransferase.	4-coumaroyl-CoA + shikimate = CoA + 4-coumaroylshikimate.	\N	\N	\N	\N	\N
69117	3.6.1.1	Inorganic pyrophosphatase.	Diphosphate + H(2)O = 2 phosphate.	\N	\N	Oxidative phosphorylation	Energy Metabolism	METABOLIC
69121	5.4.2.8	Phosphomannomutase.	D-mannose 1-phosphate = D-mannose 6-phosphate.	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
69128	2.1.1.1	Nicotinamide N-methyltransferase.	S-adenosyl-L-methionine + nicotinamide = S-adenosyl-L-homocysteine + 1-methylnicotinamide.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
69132	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.	\N	Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
69146	3.6.-.-	Acting on acid anhydrides.	\N	\N	\N	\N	\N	\N
69160	3.1.13.4	Poly(A)-specific ribonuclease.	Exonucleolytic cleavage of poly(A) to 5prime-AMP.	\N	\N	\N	\N	\N
69164	2.7.2.4	Aspartate kinase.	ATP + L-aspartate = ADP + 4-phospho-L-aspartate.	\N	\N	Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
69164	2.7.2.4	Aspartate kinase.	ATP + L-aspartate = ADP + 4-phospho-L-aspartate.	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
69165	6.1.1.18	Glutamine--tRNA ligase.	ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl- tRNA(Gln).	\N	\N	Glutamate metabolism	Amino Acid Metabolism	METABOLIC
69165	6.1.1.18	Glutamine--tRNA ligase.	ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl- tRNA(Gln).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
69168	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).	\N	\N	\N	\N	\N
69169	4.2.1.11	Phosphopyruvate hydratase.	2-phospho-D-glycerate = phosphoenolpyruvate + H(2)O.	Magnesium.	\N	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
69169	4.2.1.11	Phosphopyruvate hydratase.	2-phospho-D-glycerate = phosphoenolpyruvate + H(2)O.	Magnesium.	\N	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
69170	5.4.2.8	Phosphomannomutase.	D-mannose 1-phosphate = D-mannose 6-phosphate.	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	O-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Keratan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
69172	2.4.1.-	Hexosyltransferases.	\N	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
69175	1.2.1.13	Glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating).	D-glyceraldehyde 3-phosphate + phosphate + NADP(+) = 3-phospho-D- glyceroyl phosphate + NADPH.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC
69178	2.1.3.3	Ornithine carbamoyltransferase.	Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.	\N	Ornithine transcarbamylase deficiency; MIM:311250.	Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
69178	2.1.3.3	Ornithine carbamoyltransferase.	Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.	\N	Ornithine transcarbamylase deficiency; MIM:311250.	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
69184	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
69184	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
69184	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
69184	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
