Gene ID	Contig	Strand	Start	End	GeneType	description	GO-labels	protein domains	KOGid
BathyCg00281	bathy_Chloroplast	-	190	3177	mRNA	DNA-directed RNA polymerase subunit beta	GO:0003899;GO:0003677;GO:0006351	NA	NA
BathyCg00010	bathy_Chloroplast	-	3200	5602	mRNA	DNA-directed RNA polymerase subunit beta	GO:0003899;GO:0003677;GO:0006351	NA	NA
BathyCg00282	bathy_Chloroplast	-	5626	9108	mRNA	DNA-directed RNA polymerase subunit beta	GO:0003899;GO:0003677;GO:0006351	NA	NA
BathyCg00314	bathy_Chloroplast	-	9350	10078	mRNA	n/a	NA	NA	NA
BathyCg00040	bathy_Chloroplast	+	19020	19610	mRNA	small ribosomal protein 4	GO:0006412;GO:0003735;GO:0015935	IPR001912: Ribosomal protein S4/S9, N-terminal; SSF55174: Alpha-L RNA-binding motif; IPR022801: Ribosomal protein S4/S9; IPR002942: RNA-binding S4; IPR005709: Ribosomal protein S4, bacterial-type	NA
BathyCg00283	bathy_Chloroplast	-	19700	19834	mRNA	photosystem II PsbN protein	GO:0016020;GO:0009539;GO:0009523;GO:0015979	NA	NA
BathyCg00050	bathy_Chloroplast	+	19915	20169	mRNA	photosystem II protein H	GO:0016020;GO:0042301;GO:0009523;GO:0050821;GO:0015979	NA	NA
BathyCg00287	bathy_Chloroplast	+	20563	20670	mRNA	Photosystem I reaction center subunit VIII	GO:0015979;GO:0009522	NA	NA
BathyCg00288	bathy_Chloroplast	+	20796	20897	mRNA	Photosystem II reaction center protein ycf12	GO:0009523;GO:0016021;GO:0015979	NA	NA
BathyCg00284	bathy_Chloroplast	+	20913	21008	mRNA	Photosystem I reaction center subunit XII	GO:0030094;GO:0015979;GO:0009522	NA	NA
BathyCg00313	bathy_Chloroplast	+	21008	21217	mRNA	n/a	NA	NA	NA
BathyCg00060	bathy_Chloroplast	+	21760	22104	mRNA	50S ribosomal protein L20	GO:0005840;GO:0006412;GO:0005622;GO:0003735;GO:0019843	G3DSA:1.10.1900.20: no description; SSF74731: Ribosomal protein L20; PD002389: RK20_CHLRE_P26565;; IPR005813: Ribosomal protein L20	NA
BathyCg00070	bathy_Chloroplast	+	22618	22833	mRNA	Ribosomal protein S18	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyCg00285	bathy_Chloroplast	+	22843	23217	mRNA	Ribosomal protein S12	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyCg00289	bathy_Chloroplast	+	23297	23767	mRNA	small subunit ribosomal protein S7	NA	NA	NA
BathyCg00080	bathy_Chloroplast	+	23838	25073	mRNA	elongation factor Tu	NA	IPR004541: Translation elongation factor EFTu/EF1A, bacterial/organelle; IPR009001: Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; IPR000795: Protein synthesis factor, GTP-binding; G3DSA:2.40.30.10: no description; G3DSA:3.40.50.300: no description; IPR004160: Translation elongation factor EFTu/EF1A, C-terminal; IPR005225: Small GTP-binding protein domain; PTHR23115: FAMILY NOT NAMED; IPR004161: Translation elongation factor EFTu/EF1A, domain 2; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR009000: Translation elongation/initiation factor/Ribosomal, beta-barrel	NA
