Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
MicpuC2.gw1.11.51.1	MicpuC2.gw1.11.51.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06027" target="_blank">K06027</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.6" target="_blank">3.6.4.6</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23078" target="_blank">PTHR23078</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23078:SF3" target="_blank">PTHR23078:SF3</a>	<a href="http://pfam.xfam.org/family/PF07724" target="_blank">PF07724</a> <a href="http://pfam.xfam.org/family/PF00004" target="_blank">PF00004</a>
MicpuC2.gw1.5.742.1	MicpuC2.gw1.5.742.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">GO:0004553</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.20" target="_blank">3.2.1.20</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22762" target="_blank">PTHR22762</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22762:SF91" target="_blank">PTHR22762:SF91</a>	<a href="http://pfam.xfam.org/family/PF13802" target="_blank">PF13802</a> <a href="http://pfam.xfam.org/family/PF01055" target="_blank">PF01055</a>
MicpuC2.gw1.17.214.1	MicpuC2.gw1.17.214.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.13.3" target="_blank">2.7.13.3</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24423" target="_blank">PTHR24423</a>	<a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a>
MicpuC2.gw1.2.922.1	MicpuC2.gw1.2.922.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0296" target="_blank">KOG0296</a> <a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0294" target="_blank">KOG0294</a> <a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0286" target="_blank">KOG0286</a> <a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0645" target="_blank">KOG0645</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22847" target="_blank">PTHR22847</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
MicpuC2.gw1.3.1022.1	MicpuC2.gw1.3.1022.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">GO:0006281</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003904" target="_blank">GO:0003904</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01669" target="_blank">K01669</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=4.1.99.3" target="_blank">4.1.99.3</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10211" target="_blank">PTHR10211</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10211:SF0" target="_blank">PTHR10211:SF0</a>	<a href="http://pfam.xfam.org/family/PF00875" target="_blank">PF00875</a> <a href="http://pfam.xfam.org/family/PF03441" target="_blank">PF03441</a>
MicpuC2.gw1.5.790.1	MicpuC2.gw1.5.790.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">GO:0015031</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10906" target="_blank">PTHR10906</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10906:SF2" target="_blank">PTHR10906:SF2</a>	<a href="http://pfam.xfam.org/family/PF00344" target="_blank">PF00344</a>
MicpuC2.gw1.6.588.1	MicpuC2.gw1.6.588.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13131" target="_blank">K13131</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0328" target="_blank">KOG0328</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.13" target="_blank">3.6.4.13</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24031" target="_blank">PTHR24031</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24031:SF159" target="_blank">PTHR24031:SF159</a>	<a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a> <a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a>
MicpuC2.gw1.7.572.1	MicpuC2.gw1.7.572.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0003333" target="_blank">GO:0003333</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03834" target="_blank">K03834</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR32195" target="_blank">PTHR32195</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR32195:SF20" target="_blank">PTHR32195:SF20</a>	<a href="http://pfam.xfam.org/family/PF03222" target="_blank">PF03222</a>
MicpuC2.gw1.4.876.1	MicpuC2.gw1.4.876.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16911" target="_blank">K16911</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0335" target="_blank">KOG0335</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.13" target="_blank">3.6.4.13</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24031" target="_blank">PTHR24031</a>	<a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a> <a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a>
MicpuC2.gw1.1.1213.1	MicpuC2.gw1.1.1213.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">GO:0004518</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">GO:0006281</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006289" target="_blank">GO:0006289</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">GO:0005634</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004519" target="_blank">GO:0004519</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003697" target="_blank">GO:0003697</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10846" target="_blank">K10846</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.16.1" target="_blank">3.1.16.1</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11081" target="_blank">PTHR11081</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11081:SF1" target="_blank">PTHR11081:SF1</a>	<a href="http://pfam.xfam.org/family/PF00867" target="_blank">PF00867</a>
