#Name,Accession,Start,Stop,Locus tag,Protein Name
"Un","BLLF01005267.1",700,3149,"HaLaN_29921","hypothetical protein HaLaN_29921"
"Un","BLLF01005268.1",1365,3761,"HaLaN_29922","hypothetical protein HaLaN_29922, partial"
"Un","BLLF01005269.1",68,708,"HaLaN_29923","BBS1 domain-containing protein"
"Un","BLLF01005269.1",4876,5533,"HaLaN_29924","SCY1-like protein 2, partial"
"Un","BLLF01005270.1",70,1170,"HaLaN_29925","Fcf2 domain-containing protein, partial"
"Un","BLLF01005270.1",2910,3640,"HaLaN_29926","zinc-binding, partial"
"Un","BLLF01005270.1",4987,6109,"HaLaN_29927","predicted protein, partial"
"Un","BLLF01005271.1",43,4586,"HaLaN_29928","gag-Pol polyprotein"
"Un","BLLF01005272.1",59,941,"HaLaN_29929","uncharacterized protein HaLaN_29929, partial"
"Un","BLLF01005272.1",1742,2596,"HaLaN_29930","hypothetical protein HaLaN_29930, partial"
"Un","BLLF01005272.1",3949,4936,"HaLaN_29931","glycine cleavage system H protein"
"Un","BLLF01005272.1",5024,5469,"HaLaN_29932","hypothetical protein HaLaN_29932"
"Un","BLLF01005273.1",7455,8743,"HaLaN_29933","uncharacterized protein HaLaN_29933, partial"
"Un","BLLF01005274.1",252,1641,"HaLaN_29934","MAP kinase phosphatase 5, partial"
"Un","BLLF01005274.1",4366,5386,"HaLaN_29935","uncharacterized protein HaLaN_29935, partial"
"Un","BLLF01005275.1",838,1192,"HaLaN_29936","hypothetical protein HaLaN_29936, partial"
"Un","BLLF01005275.1",855,1219,"HaLaN_29937","pherophorin, partial"
"Un","BLLF01005276.1",3676,5540,"HaLaN_29938","hypothetical protein HaLaN_29938, partial"
"Un","BLLF01005277.1",8825,10202,"HaLaN_29940","UDENN domain-containing protein, partial"
"Un","BLLF01005279.1",485,2040,"HaLaN_29941","ABC transporter domain-containing protein, partial"
"Un","BLLF01005281.1",401,2652,"HaLaN_29944","uncharacterized protein HaLaN_29944, partial"
"Un","BLLF01005282.1",3280,4166,"HaLaN_29945","putative epimerase, partial"
"Un","BLLF01005282.1",10843,11342,"HaLaN_29946","hypothetical protein HaLaN_29946, partial"
"Un","BLLF01005283.1",85,891,"HaLaN_29947","uncharacterized protein HaLaN_29947, partial"
"Un","BLLF01005283.1",3217,5492,"HaLaN_29948","hypothetical protein HaLaN_29948"
"Un","BLLF01005284.1",331,4272,"HaLaN_29949","tRNA-dihydrouridine synthase 3"
"Un","BLLF01005285.1",808,5879,"HaLaN_29950","uncharacterized protein HaLaN_29950, partial"
