Gene ID	GO	KO
GFH05534	GO:0006189 GO:0008716	K11808
GFH05536	GO:0005840 GO:0006412 GO:0008097 GO:0003735	K02932
GFH05549	GO:0005634 GO:0006338 GO:0016818 GO:0005524 GO:0003676 GO:0043044 GO:0031491	K11654
GFH05550	GO:0005524 GO:0016787 GO:0003677 GO:0003676	K11654
GFH05551	GO:0016020 GO:0015031	K10956
GFH05554	GO:0005975 GO:0004553	
GFH05565	GO:0046872 GO:0005892	
GFH05582	GO:0006468 GO:0005524 GO:0004672	K20606
GFH05583	GO:0008168	
GFH05584	GO:0046872	
GFH05585	GO:0003824	K17499
GFH05587	GO:0003697	
GFH05591	GO:0098599	K01074
GFH05592	GO:0000062	
GFH05595	GO:0016021 GO:0004252	
GFH05598	GO:0006741 GO:0003951	
GFH05600	GO:0005524 GO:0003676	K13025
GFH05604	GO:0009058 GO:0016779	K00966
GFH05605	GO:0051087 GO:0001671	
GFH05607	GO:0005524 GO:0016787 GO:0003677	K10877
GFH05610	GO:0016787	
GFH05615	GO:0016787	
GFH05617	GO:0006511	
GFH05618	GO:0009055 GO:0005507	K02638
GFH05624	GO:0035556 GO:0009190	
GFH05625	GO:0035556 GO:0009190	
GFH05630	GO:0006468 GO:0005524 GO:0004672	
GFH05642	GO:0005509	
GFH05643	GO:0007018 GO:0008017 GO:0005524 GO:0003777	K10397
GFH05644	GO:0007018 GO:0008017 GO:0005524 GO:0003777	K10397
GFH05648	GO:0005840 GO:0006412 GO:0003735	K02959
GFH05651	GO:0005524 GO:0003676 GO:0016787 GO:0003677	
GFH05656	GO:0008168	
GFH05674	GO:0006508 GO:0008234	
GFH05687	GO:0016311 GO:0008138	K14165
GFH05689	GO:0005515	
GFH05695	GO:0000413 GO:0003755	K12735
GFH05700	GO:0005515	
GFH05703	GO:0003723	
GFH05707	GO:0005515	
GFH05708	GO:0016021 GO:0016020 GO:0000139 GO:0090481 GO:0015165 GO:0055085 GO:0022857	
GFH05711	GO:0046855	
