pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
27339336	MicpuC2.gw1.11.51.1	1003	1003	PF07724,PF00004	PTHR23078,PTHR23078:SF3		3.6.4.6	K06027	GO:0005524	AT4G04910.1	NSF	AAA-type ATPase family protein	Cre10.g461250.t1.1	g11308.t1	
27341365	MicpuC2.gw1.5.742.1	10168	10168	PF13802,PF01055	PTHR22762,PTHR22762:SF91		3.2.1.20		GO:0005975,GO:0004553	AT5G63840.1	PSL5,RSW3	Glycosyl hydrolases family 31  protein	Cre03.g190500.t1.2	g3944.t1,Cre03.g190500.t1.1,GLH1	Glycoside-hydrolase-like protein
27344506	MicpuC2.gw1.9.587.1	10326	10326	PF08238	PTHR11102	KOG4014				AT1G18260.1		HCP-like superfamily protein	Cre03.g197400.t1.2	g4088.t1,Cre03.g197400.t1.1,SEL1	
27344733	MicpuC2.gw1.17.214.1	10373	10373	PF02518,PF00072	PTHR24423		2.7.13.3		GO:0000160	AT2G01830.3	AHK4,ATCRE1,CRE1,WOL,WOL1	CHASE domain containing histidine kinase protein	Cre02.g079750.t1.1	g1457.t1,HIK	
27341912	MicpuC2.gw1.5.772.1	10436	10436	PF00875,PF03441	PTHR11455,PTHR11455:SF18	KOG0133	4.1.99.3			AT1G04400.2	AT-PHH1,ATCRY2,CRY2,FHA,PHH1	cryptochrome 2	Cre06.g295200.t1.2	g6833.t1,Cre06.g295200.t1.1,CPH1	Cryptochrome photoreceptor
27343288	MicpuC2.gw1.16.377.1	10494	10494		PTHR10742,PTHR10742:SF299					AT3G23530.1		Cyclopropane-fatty-acyl-phospholipid synthase	Cre06.g281250.t1.2	g6541.t1,Cre06.g281250.t1.1,CFA1	Cyclopropane fatty acid synthase
27342818	MicpuC2.gw1.2.922.1	10501	10501	PF00400	PTHR22847	KOG0296,KOG0294,KOG0286,KOG0645			GO:0005515	AT3G49660.1		Transducin/WD40 repeat-like superfamily protein	Cre08.g364000.t1.1	g8524.t1	
27347506	MicpuC2.gw1.3.1022.1	10516	10516	PF00875,PF03441	PTHR10211,PTHR10211:SF0		4.1.99.3	K01669	GO:0006281,GO:0003904	AT1G12370.2	PHR1,UVR2	photolyase 1	Cre12.g533000.t1.2	g13113.t1,Cre12.g533000.t1.1,PHR2	CPD photolyase, class II
27346938	MicpuC2.gw1.3.1029.1	10566	10566	PF13692											
27347060	MicpuC2.gw1.3.1036.1	10608	10608	PF13561	PTHR24322,PTHR24322:SF554	KOG0725				AT2G29260.1		NAD(P)-binding Rossmann-fold superfamily protein	Cre03.g191850.t1.1	g3971.t1,SDR8	
27346998	MicpuC2.gw1.3.1037.1	10609	10609	PF13685	PTHR11496,PTHR11496:SF74	KOG3857							Cre17.g746997.t1.1	g18056.t1,Cre20.g758200.t1.1,Cre20.g758200.t1.2,ADH1	Dual function alcohol/acetaldehyde dehydrogenase
27342020	MicpuC2.gw1.5.790.1	10617	10617	PF00344	PTHR10906,PTHR10906:SF2				GO:0016020,GO:0015031	AT2G31530.1	EMB2289,SCY2	SecY protein transport family protein	Cre16.g681900.t1.2	g16466.t1,Cre16.g681900.t1.1,SCY1	Preprotein translocase secY subunit
27340989	MicpuC2.gw1.7.567.1	10629	10629	PF08238	PTHR11102	KOG4014				AT1G18260.1		HCP-like superfamily protein	Cre03.g197400.t1.2	g4088.t1,Cre03.g197400.t1.1,SEL1	
27348215	MicpuC2.gw1.6.588.1	10648	10648	PF00271,PF00270	PTHR24031,PTHR24031:SF159	KOG0328	3.6.4.13	K13131	GO:0005524,GO:0003676	AT1G54270.1	EIF4A-2	eif4a-2	Cre02.g090500.t1.1	g1690.t1,HEL10	
27341229	MicpuC2.gw1.7.572.1	10653	10653	PF03222	PTHR32195,PTHR32195:SF20			K03834	GO:0003333	AT5G19500.1		Tryptophan/tyrosine permease	Cre13.g572200.t1.2	g14071.t1,Cre13.g572200.t1.1	
