Gene ID	GO	KO	KOG	ENZYME	PANTHER
Dusal.0001s00009	GO:0016020 GO:0006810 GO:0005215				PTHR30520 PTHR30520:SF0
Dusal.0001s00013	GO:0005524	K11643	KOG0386	3.6.4.12	PTHR10799 PTHR10799:SF788
Dusal.0001s00024	GO:0004527 GO:0003676	K12619			PTHR12341
Dusal.0001s00030	GO:0030170 GO:0009058 GO:0008483 GO:0006520	K00811	KOG1411	2.6.1.1	PTHR11879 PTHR11879:SF1
Dusal.0001s00031	GO:0005515		KOG1477		PTHR12864 PTHR12864:SF21
Dusal.0001s00037	GO:0005515		KOG2444		PTHR22840
Dusal.0001s00040	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02971	KOG3486		PTHR10442
Dusal.0001s00042	GO:0006508 GO:0004185	K09645	KOG1282	3.4.16.5	PTHR11802 PTHR11802:SF30
Dusal.0001s00048	GO:0006412 GO:0005840 GO:0005622 GO:0003735		KOG4122		
Dusal.0001s00051	GO:0019898 GO:0015979 GO:0009654 GO:0009523 GO:0005509				PTHR31407 PTHR31407:SF16
Dusal.0001s00052	GO:0042578		KOG1889		PTHR11200 PTHR11200:SF170
Dusal.0002s00007	GO:0042176 GO:0030234 GO:0000502 GO:0005515	K03033	KOG2581		PTHR10758 PTHR10758:SF2
Dusal.0002s00009	GO:0005525	K02355			PTHR23115 PTHR23115:SF66
Dusal.0002s00011	GO:0042147 GO:0030904 GO:0015031 GO:0008565	K18468	KOG1107		PTHR11099
Dusal.0002s00012	GO:0055114 GO:0050661 GO:0033014 GO:0008883	K02492		1.2.1.70	PTHR13812 PTHR13812:SF18
Dusal.0002s00013	GO:0016787				PTHR36492 PTHR36492:SF2
Dusal.0002s00014	GO:0006355				PTHR14304 PTHR14304:SF11
Dusal.0002s00015	GO:0005515	K14555	KOG0279		PTHR19854 PTHR19854:SF15
Dusal.0002s00016	GO:0032040 GO:0006364				PTHR19854 PTHR19854:SF15
Dusal.0002s00020	GO:0006351 GO:0003887 GO:0003677				PTHR13213 PTHR13213:SF2
Dusal.0002s00021	GO:0006351 GO:0003887 GO:0003677	K02331		2.7.7.7	PTHR13213 PTHR13213:SF2
Dusal.0002s00025	GO:0003677 GO:0000786	K11253	KOG1745		PTHR11426
Dusal.0002s00030	GO:0008168	K14835	KOG1122	2.1.1.176	PTHR22807 PTHR22807:SF30
Dusal.0002s00032	GO:0003677 GO:0000786	K11253	KOG1745		PTHR11426
Dusal.0002s00033	GO:0006457 GO:0003755 GO:0000413		KOG0881	3.4.24.21	PTHR33344
Dusal.0002s00034	GO:0009116		KOG1448	2.7.6.1	PTHR10210 PTHR10210:SF45
Dusal.0002s00035	GO:0003676	K12890 character(0)	KOG0105 character(0)		PTHR24012 PTHR24012:SF442
Dusal.0002s00036	GO:0003677	K11251	KOG1756		PTHR23430
Dusal.0002s00037	GO:0005525	K06943			PTHR11702 PTHR11702:SF28
Dusal.0002s00038	GO:0003677 GO:0000786	K11253	KOG1745		PTHR11426
Dusal.0002s00044	GO:0005634 GO:0003676	K14401 character(0)			PTHR10644 PTHR10644:SF2
Dusal.0002s00046	GO:0003824 GO:0006470 GO:0004722		KOG0698	3.1.3.16	PTHR13832
Dusal.0002s00047	GO:0042147 GO:0030904	K18467	KOG3325		PTHR11124 PTHR11124:SF12
Dusal.0002s00049	GO:0005515				
Dusal.0002s00052	GO:0055114 GO:0016491 GO:0008270		KOG1198		PTHR11695 PTHR11695:SF509
Dusal.0002s00057	GO:0055114 GO:0020037 GO:0016705 GO:0005506	character(0) K10717	KOG0157	1.3.3.9	PTHR24291 PTHR24305
Dusal.0002s00063	GO:0030286 GO:0007018 GO:0003777				PTHR10676 PTHR10676:SF242
Dusal.0002s00064	GO:0030286 GO:0007018 GO:0003777			3.6.4.2	PTHR10676 PTHR10676:SF242
Dusal.0002s00065	GO:0007018 GO:0003777			3.6.4.2	PTHR10676
Dusal.0002s00066	GO:0007018 GO:0003777			3.6.4.2	PTHR10676 PTHR10676:SF242
Dusal.0002s00067	GO:0043565				PTHR10245 PTHR10245:SF33
Dusal.0002s00068	GO:0007018 GO:0003777 GO:0016887 GO:0005858 GO:0001539	K10408			PTHR10676 PTHR10676:SF136
Dusal.0002s00069	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920
Dusal.0002s00070	GO:0055114 GO:0016491				PTHR13847 PTHR13847:SF184
Dusal.0002s00071	GO:0017176 GO:0016021 GO:0006506	K03859	KOG3059	2.4.1.198	PTHR12982
Dusal.0002s00077	GO:0005515		KOG2096		PTHR22847 PTHR22847:SF358
Dusal.0002s00081	GO:0016787	K07766	KOG2839	3.6.1.22 3.6.1.13	PTHR12629
Dusal.0002s00083	GO:0008374 GO:0006629	K00679	KOG2369	2.3.1.158	PTHR11440 PTHR11440:SF4
Dusal.0003s00004	GO:0016787			3.4.11.9	PTHR10804 PTHR10804:SF87
Dusal.0003s00009	GO:0008418	K08869 K14662	KOG1235 character(0)	3.6.3.46 character(0)	PTHR10566 PTHR10566:SF58 PTHR12498 PTHR12498:SF0
Dusal.0003s00019	GO:0055114 GO:0008677 GO:0050661 GO:0016491	character(0) K00077		1.1.1.169	PTHR21708 PTHR21708:SF24
Dusal.0003s00021	GO:0016810 GO:0006807	K01950		6.3.5.1	PTHR23090 PTHR23090:SF9
Dusal.0003s00025	GO:0071949			1.14.13.90	PTHR13789 PTHR13789:SF186
