Naga_101577g2	NGA_2123800
Naga_101577g1	NGA_0448800
Naga_101763g1	NGA_0112700
Naga_102327g1	NGA_0713100
Naga_101117g1	NGA_0645900
Naga_102997g1	NGA_2054500
Naga_100473g2	NGA_2127500
Naga_100473g3	NGA_0716900
Naga_100473g3	NGA_0428320
Naga_100473g5	NGA_0137300
Naga_100473g5	NGA_0137300
Naga_101705g1	NGA_0645900
Naga_100901g2	NGA_0442100
Naga_100901g1	NGA_0225300
Naga_101559g1	NGA_0701400
Naga_101559g2	NGA_0467800
Naga_101244g1	NGA_0679600
Naga_101244g2	NGA_0607700
Naga_101408g3	NGA_0400300
Naga_101853g1	NGA_0661520
Naga_102191g1	NGA_0198800
Naga_103446g1	NGA_0405400
Naga_101784g2	NGA_0700400
Naga_101784g1	NGA_2089400
Naga_102953g1	NGA_0631100
Naga_101453g1	NGA_0434700
Naga_102006g2	NGA_0199000
Naga_102006g1	NGA_0706000
Naga_101208g2	NGA_0109720
Naga_102399g1	NGA_0461200
Naga_102963g1	NGA_0082400
Naga_100571g3	NGA_0318400
Naga_100571g2	NGA_0429201
Naga_100571g1	NGA_0094600
Naga_101074g2	NGA_0194100
Naga_101074g2	NGA_0194100
Naga_101074g1	NGA_2061100
Naga_100089g1	NGA_0401310
Naga_100089g1	NGA_0480900
Naga_100089g2	NGA_0379900
Naga_100089g2	NGA_0379900
Naga_100089g2	NGA_0630800
Naga_100089g3	NGA_0094800
Naga_100089g4	NGA_0719700
Naga_100089g5	NGA_0454000
Naga_100089g7	NGA_0715500
Naga_100089g7	NGA_0121200
Naga_100089g8	NGA_2071820
Naga_100089g9	NGA_2114920
Naga_100089g10	NGA_0115300
Naga_100089g12	NGA_0452500
Naga_100089g13	NGA_0495900
Naga_100089g16	NGA_2117200
Naga_100089g17	NGA_2005320
Naga_100089g18	NGA_0185210
Naga_100354g7	NGA_0503000
Naga_100354g6	NGA_0425800
Naga_100354g5	NGA_0686500
Naga_100354g4	NGA_0435800
Naga_100354g3	NGA_0402100
Naga_100354g1	NGA_0702000
Naga_102113g1	NGA_0686400
Naga_103136g1	NGA_0649400
Naga_100648g2	NGA_0695800
Naga_100648g1	NGA_0468900
Naga_102088g1	NGA_0721700
Naga_100912g1	NGA_0648800
Naga_100912g2	NGA_2030900
Naga_100725g3	NGA_0318900
Naga_100725g2	NGA_0101300
Naga_100725g1	NGA_2074600
Naga_102211g1	NGA_2098700
Naga_101282g1	NGA_0682100
Naga_101037g1	NGA_0353500
Naga_101342g2	NGA_0174300
Naga_101342g1	NGA_2118300
Naga_100446g1	NGA_2034400
Naga_100446g2	NGA_0578302
Naga_100446g3	NGA_2058000
Naga_100446g4	NGA_0434601
Naga_100446g5	NGA_0524900
Naga_102058g1	NGA_0709520
Naga_100937g1	NGA_2097200
Naga_100255g1	NGA_0497100
Naga_100255g2	NGA_0709510
Naga_100255g3	NGA_0469900
Naga_100255g5	NGA_0470100
Naga_100255g6	NGA_0731100
Naga_100255g7	NGA_0500700
Naga_100255g8	NGA_0192800
Naga_101200g2	NGA_0305802
Naga_101200g1	NGA_0504420
Naga_100612g6	NGA_0504300
Naga_100612g4	NGA_0396600
Naga_100612g3	NGA_0556100
Naga_100612g2	NGA_0504200
Naga_100292g6	NGA_0516500
Naga_100292g5	NGA_0362002
Naga_100292g3	NGA_2018400
Naga_100292g2	NGA_0160302
Naga_100922g1	NGA_2120800
Naga_100922g2	NGA_0688900
Naga_100922g3	NGA_0190800
Naga_100898g2	NGA_0719300
Naga_100825g1	NGA_0687200
Naga_100825g1	NGA_0711800
Naga_100825g2	NGA_0101200
Naga_100513g1	NGA_2069900
Naga_100513g2	NGA_0490200
Naga_100513g3	NGA_0490300
Naga_101138g2	NGA_2062700
Naga_101138g1	NGA_2106400
Naga_101405g1	NGA_0497600
Naga_101682g1	NGA_0504500
Naga_101682g2	NGA_0094900
Naga_101149g1	NGA_0605800
Naga_100272g1	NGA_0179120
Naga_100272g2	NGA_0182300
Naga_100272g3	NGA_0179302
Naga_100272g4	NGA_2113920
Naga_100272g5	NGA_0075600
Naga_100272g7	NGA_0179402
Naga_100272g8	NGA_2081800
Naga_100272g8	NGA_2013900
Naga_103833g1	NGA_0332800
Naga_100459g5	NGA_0703000
Naga_100459g4	NGA_0401201
Naga_100459g3	NGA_0304502
Naga_100459g2	NGA_0514800
Naga_100180g1	NGA_0703900
Naga_100180g2	NGA_0134400
Naga_100180g3	NGA_0612400
Naga_100180g4	NGA_0721000
Naga_100180g6	NGA_0421800
Naga_100180g7	NGA_0097200
Naga_100180g8	NGA_0074300
Naga_100180g9	NGA_0180800
Naga_100180g10	NGA_2049900
Naga_100978g1	NGA_2006700
Naga_100978g2	NGA_0248302
Naga_100978g4	NGA_0133120
Naga_101966g1	NGA_0698800
Naga_101823g1	NGA_0697400
Naga_100076g24	NGA_0492520
Naga_100076g23	NGA_0492300
Naga_100076g22	NGA_0429700
Naga_100076g21	NGA_0171300
Naga_100076g20	NGA_0396400
Naga_100076g19	NGA_0692400
Naga_100076g18	NGA_0186100
Naga_100076g17	NGA_0171000
Naga_100076g16	NGA_0171200
Naga_100076g16	NGA_0171200
Naga_100076g15	NGA_0171100
Naga_100076g14	NGA_0645100
Naga_100076g12	NGA_0170910
Naga_100076g10	NGA_0671820
Naga_100076g9	NGA_0208100
Naga_100076g8	NGA_2025800
Naga_100076g6	NGA_0482300
Naga_100076g5	NGA_0679600
Naga_100076g4	NGA_2012500
Naga_100076g3	NGA_0474500
Naga_100076g2	NGA_0559800
Naga_100076g1	NGA_0703900
Naga_100076g1	NGA_0376900
Naga_101270g2	NGA_0493700
Naga_101270g1	NGA_0452200
Naga_100839g2	NGA_0442600
Naga_100839g1	NGA_0452500
Naga_100123g17	NGA_0467800
Naga_100123g16	NGA_0704700
Naga_100123g15	NGA_0504200
Naga_100123g14	NGA_0454900
Naga_100123g13	NGA_0454800
Naga_100123g12	NGA_0618500
Naga_100123g11	NGA_0704400
Naga_100123g10	NGA_0227500
Naga_100123g9	NGA_0681400
Naga_100123g7	NGA_0031420
Naga_100123g5	NGA_0387300
Naga_100123g4	NGA_2086300
Naga_100123g3	NGA_0155500
Naga_100123g2	NGA_2104300
Naga_100123g1	NGA_0705000
Naga_100055g38	NGA_2043100
Naga_100055g36	NGA_0439700
Naga_100055g35	NGA_0388500
Naga_100055g34	NGA_0198900
Naga_100055g33	NGA_0210500
Naga_100055g32	NGA_0690600
Naga_100055g31	NGA_0727900
Naga_100055g29	NGA_0475100
Naga_100055g28	NGA_0694500
Naga_100055g28	NGA_0694500
Naga_100055g27	NGA_2014820
Naga_100055g26	NGA_0721200
Naga_100055g25	NGA_0401310
Naga_100055g24	NGA_2053600
Naga_100055g23	NGA_0467800
Naga_100055g22	NGA_0545600
Naga_100055g21	NGA_0082400
Naga_100055g20	NGA_0166200
Naga_100055g19	NGA_2066810
Naga_100055g18	NGA_0443300
Naga_100055g17	NGA_0186000
Naga_100055g16	NGA_0346920
Naga_100055g15	NGA_0640620
Naga_100055g14	NGA_2103900
Naga_100055g13	NGA_0331400
Naga_100055g12	NGA_0467800
Naga_100055g11	NGA_2052600
Naga_100055g10	NGA_2013600
Naga_100055g9	NGA_0219720
Naga_100055g5	NGA_0679600
Naga_100055g8	NGA_0238900
Naga_100055g6	NGA_0679100
Naga_100055g6	NGA_2010920
Naga_100055g4	NGA_2118010
Naga_100055g3	NGA_0349002
Naga_100055g2	NGA_2120120
Naga_100055g1	NGA_2101310
Naga_101753g1	NGA_2083010
Naga_100117g18	NGA_2029900
Naga_100117g17	NGA_0339502
Naga_100117g16	NGA_2095800
Naga_100117g15	NGA_0478710
Naga_100117g14	NGA_0189801
Naga_100117g13	NGA_0463700
Naga_100117g12	NGA_0185210
Naga_100117g11	NGA_0031802
Naga_100117g9	NGA_0434010
Naga_100117g8	NGA_0388100
Naga_100117g7	NGA_0355400
Naga_100117g6	NGA_0335320
Naga_100117g5	NGA_2016820
Naga_100117g3	NGA_0721100
Naga_100117g2	NGA_0401810
Naga_100117g1	NGA_2083700
Naga_100926g1	NGA_0715800
Naga_103392g1	NGA_0455000
Naga_100171g16	NGA_0587900
Naga_100171g15	NGA_0222701
Naga_100171g13	NGA_2028900
Naga_100171g11	NGA_0462300
Naga_100171g10	NGA_2104200
Naga_100171g8	NGA_2100500
Naga_100171g8	NGA_2100500
Naga_100171g6	NGA_2030900
Naga_100171g6	NGA_0515200
Naga_100171g5	NGA_2061100
Naga_100171g3	NGA_0025720
Naga_100171g2	NGA_0707120
Naga_100171g1	NGA_0484501
Naga_100062g1	NGA_2017200
Naga_100062g3	NGA_2107020
Naga_100062g4	NGA_0679600
Naga_100062g5	NGA_0232600
Naga_100062g6	NGA_0514700
Naga_100062g8	NGA_2027100
Naga_100062g8	NGA_0484401
Naga_100062g9	NGA_2075700
Naga_100062g10	NGA_0331200
Naga_100062g11	NGA_2000420
Naga_100062g12	NGA_2007510
Naga_100062g14	NGA_2092720
Naga_100062g15	NGA_0387700
Naga_100062g16	NGA_2005920
Naga_100062g17	NGA_0036802
Naga_100062g18	NGA_0576820
Naga_100062g19	NGA_2010920
Naga_100062g20	NGA_0370410
Naga_100062g21	NGA_0346920
Naga_100062g23	NGA_0231610
Naga_100062g24	NGA_0679600
Naga_100062g25	NGA_0622700
Naga_100062g26	NGA_0689700
Naga_100062g26	NGA_0525500
Naga_100062g27	NGA_0133900
Naga_100062g29	NGA_0133401
Naga_100062g31	NGA_0133501
Naga_100062g32	NGA_0133900
Naga_100062g33	NGA_0500600
Naga_100062g34	NGA_0133800
Naga_100462g5	NGA_0133800
Naga_100462g4	NGA_0133800
Naga_100462g3	NGA_0133300
Naga_100462g2	NGA_0133600
Naga_100462g2	NGA_0133600
Naga_100462g1	NGA_0134100
Naga_100140g14	NGA_0134000
Naga_100140g13	NGA_0133600
Naga_100140g12	NGA_0186100
Naga_100140g11	NGA_0587900
Naga_100140g9	NGA_0515200
Naga_100140g8	NGA_0462800
Naga_100140g6	NGA_0358600
Naga_100140g5	NGA_0236400
Naga_100140g4	NGA_2013120
Naga_100140g3	NGA_0330500
Naga_100140g2	NGA_2125900
Naga_100140g1	NGA_2114820
Naga_100548g4	NGA_0233001
Naga_100548g3	NGA_0115900
Naga_100548g2	NGA_0458200
Naga_100613g3	NGA_0399500
Naga_100613g1	NGA_0332800
Naga_100260g10	NGA_0501300
Naga_100260g9	NGA_0501500
Naga_100260g8	NGA_2023700
Naga_100260g7	NGA_0501400
Naga_100260g6	NGA_0169500
Naga_100260g5	NGA_0331300
Naga_100260g4	NGA_0169600
Naga_100260g3	NGA_0486800
Naga_100260g2	NGA_0169700
Naga_100260g1	NGA_0169300
Naga_100175g1	NGA_0238700
Naga_100175g2	NGA_0169420
Naga_100175g3	NGA_0380400
Naga_100175g4	NGA_0380300
Naga_100175g5	NGA_0361402
Naga_100175g6	NGA_0612400
Naga_100175g7	NGA_0238100
Naga_100175g9	NGA_0682910
Naga_100427g1	NGA_0711010
Naga_100427g2	NGA_0174101
Naga_100427g3	NGA_0366400
Naga_100427g4	NGA_0121200
Naga_100427g4	NGA_0121200
Naga_100427g6	NGA_2061220
Naga_102739g1	NGA_0568820
Naga_100545g1	NGA_2112610
Naga_100545g2	NGA_0679600
Naga_100545g3	NGA_0546000
Naga_100545g5	NGA_2067400
Naga_100447g1	NGA_0082200
Naga_100447g2	NGA_0467800
Naga_100447g3	NGA_0682910
Naga_100678g5	NGA_2087700
Naga_100678g4	NGA_0236620
Naga_100678g2	NGA_0427200
Naga_100678g1	NGA_2056600
Naga_100560g1	NGA_0238100
Naga_100560g2	NGA_0713400
Naga_100560g3	NGA_2032500
Naga_100560g4	NGA_0126000
Naga_100954g1	NGA_0364200
Naga_100954g2	NGA_0125800
Naga_101924g2	NGA_0466700
Naga_101924g1	NGA_0682300
Naga_100796g4	NGA_0126100
Naga_100796g3	NGA_0125900
Naga_100796g1	NGA_0602800
Naga_101196g1	NGA_0679600
Naga_101196g3	NGA_0272302
Naga_101241g2	NGA_2030000
Naga_101241g1	NGA_2036400
Naga_102571g1	NGA_2098700
Naga_101686g1	NGA_2125900
Naga_101596g1	NGA_2098700
Naga_100883g1	NGA_2046000
Naga_100883g2	NGA_0227400
Naga_100883g3	NGA_0649100
Naga_101876g1	NGA_2045500
Naga_101876g2	NGA_0198900
Naga_100782g2	NGA_0649200
Naga_100782g2	NGA_0649200
Naga_100782g1	NGA_2053810
Naga_101272g2	NGA_0649400
Naga_101272g1	NGA_0648800
Naga_100662g1	NGA_0127100
Naga_100662g2	NGA_0649500
Naga_100662g3	NGA_0649900
Naga_100662g4	NGA_0404300
Naga_100633g2	NGA_2069800
Naga_100633g1	NGA_0243901
Naga_101548g1	NGA_0458100
Naga_101991g1	NGA_0619200
Naga_100239g1	NGA_0728900
Naga_100239g2	NGA_0447600
Naga_100239g3	NGA_0447700
Naga_100239g4	NGA_0198700
Naga_100239g5	NGA_0198600
Naga_100239g6	NGA_2021020
Naga_100239g8	NGA_0198500
Naga_102234g1	NGA_2087000
Naga_100302g1	NGA_2079200
Naga_100302g2	NGA_0198301
Naga_100302g3	NGA_0503000
Naga_100302g4	NGA_0711700
Naga_100511g5	NGA_2021020
Naga_100511g3	NGA_0697100
Naga_100511g3	NGA_0697100
Naga_100511g2	NGA_0683000
Naga_100511g1	NGA_0219720
Naga_100142g13	NGA_2026900
Naga_100142g12	NGA_0220200
Naga_100142g11	NGA_0241000
Naga_100142g10	NGA_0439000
Naga_100142g9	NGA_0379600
Naga_100142g8	NGA_0719300
Naga_100142g7	NGA_0115602
Naga_100142g6	NGA_0194900
Naga_100142g5	NGA_2083600
Naga_100142g4	NGA_0442400
Naga_100142g3	NGA_0442310
Naga_100142g2	NGA_0442502
Naga_100142g1	NGA_0442200
Naga_100441g5	NGA_0502400
Naga_100441g4	NGA_0502100
Naga_100441g3	NGA_0502300
Naga_100441g2	NGA_0187100
Naga_100441g1	NGA_0472300
Naga_101399g1	NGA_0450000
Naga_104160g1	NGA_0073100
Naga_101494g2	NGA_0472400
Naga_101494g1	NGA_0198800
Naga_100869g1	NGA_0182300
Naga_102678g1	NGA_0437500
Naga_101156g1	NGA_0714200
Naga_101156g2	NGA_2080900
Naga_101812g1	NGA_0461200
Naga_101812g2	NGA_2034400
Naga_101190g1	NGA_2119620
Naga_101190g4	NGA_0134201
Naga_101383g1	NGA_0377000
Naga_100642g1	NGA_2077100
Naga_100642g1	NGA_0545600
Naga_100822g2	NGA_2022900
Naga_100822g2	NGA_0210500
Naga_100822g1	NGA_0222701
Naga_100822g1	NGA_0699010
Naga_100895g1	NGA_0546700
Naga_100895g4	NGA_0726500
Naga_100675g2	NGA_0719000
Naga_100675g1	NGA_2088400
Naga_102619g1	NGA_2000800
Naga_102723g1	NGA_2117700
Naga_100494g1	NGA_0686400
Naga_100494g2	NGA_0412702
Naga_100494g2	NGA_0412702
Naga_100494g3	NGA_0192700
Naga_100494g5	NGA_0721200
Naga_100269g1	NGA_0334500
Naga_100269g2	NGA_0705200
Naga_100269g3	NGA_0681400
Naga_100095g1	NGA_0147700
